Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.950936073,0.881294634,0.9432922,0.9432922
Aarnet,0001,0.863201706,0.909363556,0.9335895,0.9335895
Aarnet,0002,0.908234549,1.027882216,0.9634367,0.9634367
Aarnet,0003,0.951728556,1.00698216,0.9720654,0.9720654
Aarnet,0004,0.961730039,0.889182726,1.1249961,1.1249961
Abilene,0000,0.445544154,0.461128586,0.9000093436535493,0.9000709313914609
Abilene,0001,0.475071927,0.533216799,0.9000670633198302,0.9000670633198302
Abilene,0002,0.411470039,0.395252705,0.9000528469007202,0.9000047220614712
Abilene,0003,0.408235026,0.428718869,0.9000338079507458,0.9000157736947016
Abilene,0004,0.415581138,0.494968382,0.9000313966853137,0.9000513900945216
Abvt,0000,1.409087634,1.385710835,0.90000975,0.90000975
Abvt,0001,1.51752049,1.57414434,0.9000545833333332,0.9000545833333332
Abvt,0002,1.378200033,1.322902528,0.90001775,0.90001775
Abvt,0003,1.40149189,1.604331422,0.8999953333333334,0.8999953333333334
Abvt,0004,1.43034834,1.342647475,0.9000493333333334,0.9000493333333334
Aconet,0000,1.453312295,1.955510344,0.9000307924528302,0.9000307924528302
Aconet,0001,1.527325242,1.451711705,0.9000005283018868,0.9000005283018868
Aconet,0002,1.629347874,1.741549101,0.9000181886792453,0.9000181886792453
Aconet,0003,1.57210223,1.652127968,0.9013927547169811,0.9013927547169811
Aconet,0004,1.479367498,1.499429781,0.9000785660377358,0.9000785660377358
Agis,0000,1.803399134,1.816316938,0.8997555555555555,0.8998129032258064
Agis,0001,2.043570746,2.027224699,0.8997741935483871,0.8998222222222222
Agis,0002,1.911100278,1.860664718,0.8997516129032258,0.8997645161290323
Agis,0003,1.840301313,1.779170732,0.899816129032258,0.899816129032258
Agis,0004,1.710112612,1.895766612,0.8998064516129032,0.8997333333333334
Ai3,0000,0.201241296,0.197263513,0.899993,0.899993
Ai3,0001,0.197746664,0.190112959,0.899994,0.899994
Ai3,0002,0.202334785,0.198663332,0.899992,0.899992
Ai3,0003,0.213968606,0.206539432,0.899993,0.899993
Ai3,0004,0.207382389,0.197472415,0.899991,0.899991
Airtel,0000,0.930576348,1.192873795,0.9000568333333334,0.9001043333333334
Airtel,0001,0.981936471,0.879257356,0.9042680000000001,0.9042680000000001
Airtel,0002,1.014998268,1.00208044,1.0394822,1.0155786
Airtel,0003,1.191062544,1.397200178,0.9495676666666666,0.97414625
Airtel,0004,0.822366921,0.895983851,0.9607806666666666,0.9607806666666666
Amres,0000,1.730962637,1.629066984,0.899929,0.899929
Amres,0001,1.444892411,1.550338655,0.899926,0.899926
Amres,0002,1.626075303,1.574210772,0.899926,0.899926
Amres,0003,1.608967493,1.500767413,0.899926,0.899926
Amres,0004,1.543806825,1.427633886,0.899943,0.899943
Ans,0000,0.916055982,1.219137019,0.89975,0.8997444444444445
Ans,0001,1.898400415,1.517736009,0.8999111111111111,0.8998666666666667
Ans,0002,1.044597018,1.015388353,0.9000888888888889,0.9000888888888889
Ans,0003,0.947413582,0.801061781,0.8997472222222223,0.8997722222222222
Ans,0004,1.707978056,2.002349601,0.8997,0.8997083333333333
Arn,0000,2.552297888,2.757321276,0.8964583333333334,0.8964583333333334
Arn,0001,2.85745776,2.613627079,0.89675,0.89675
Arn,0002,2.669991544,2.386664932,0.8967916666666667,0.8967916666666667
Arn,0003,2.197329648,2.283920456,0.8964583333333334,0.8964583333333334
