Topology,DemandFile,2-SR_SolveTime,2-SR_umax
Aarnet,0000,0.13828446,0.9432922
Aarnet,0001,0.092314563,0.9335895
Aarnet,0002,0.271701538,0.9634367
Aarnet,0003,0.264428674,0.9720654
Aarnet,0004,0.119524987,1.1249961
Abilene,0000,0.281055834,0.9000321753231095
Abilene,0001,0.275081502,0.9000570917325746
Abilene,0002,0.177418921,0.9000452614615484
Abilene,0003,0.116414115,0.9000792703510803
Abilene,0004,0.176950714,0.900012106561857
Abvt,0000,0.284567401,0.9000326666666666
Abvt,0001,0.368182427,0.9000128333333334
Abvt,0002,0.243252198,0.9000381666666666
Abvt,0003,0.316929286,0.9000243333333334
Abvt,0004,0.389928484,0.9000335
Aconet,0000,0.443636573,0.9000591698113207
Aconet,0001,0.322321407,0.8999971320754717
Aconet,0002,0.400673673,0.9000374339622641
Aconet,0003,0.351531265,0.9000732830188679
Aconet,0004,0.401547663,0.9000187169811321
Agis,0000,0.841856894,0.8997903225806452
Agis,0001,2.993776088,0.8998032258064517
Agis,0002,0.854058015,0.8997677419354839
Agis,0003,1.248161181,0.8998
Agis,0004,1.723981591,0.8997935483870968
Ai3,0000,0.039531232,0.899993
Ai3,0001,0.039239214,0.899994
Ai3,0002,0.040893596,0.899992
Ai3,0003,0.041337298,0.899993
Ai3,0004,0.039314371,0.899991
Airtel,0000,0.543609517,0.9000175
Airtel,0001,1.730567687,0.9000133999999999
Airtel,0002,0.566368978,0.8999930000000002
Airtel,0003,5.596075467,0.9000373333333334
Airtel,0004,0.502423128,0.9000835000000001
Amres,0000,0.171063926,0.899929
Amres,0001,0.166809903,0.899926
Amres,0002,0.186686936,0.899926
Amres,0003,0.169720302,0.899926
Amres,0004,0.19566707,0.899943
Ans,0000,0.441652226,0.8997111111111111
Ans,0001,6.805554146,0.8999
Ans,0002,1.392854901,0.8997333333333334
Ans,0003,1.206134543,0.8997222222222222
Ans,0004,1.446941205,0.8997
Arn,0000,0.225818313,0.8964583333333334
Arn,0001,0.226971763,0.89675
Arn,0002,0.229074801,0.8967916666666667
Arn,0003,0.223463727,0.8964583333333334
Arn,0004,0.213929137,0.8967916666666667
Arnes,0000,1.425016003,0.9025455
Arnes,0001,1.452961962,0.905294
Arnes,0002,1.662628435,0.9007095
Arnes,0003,1.728619346,0.90324975
Arnes,0004,1.492890575,0.904470125
Arpanet196912,0000,0.031086481,0.962446
Arpanet196912,0001,0.031191196,1.132629
Arpanet196912,0002,0.031795419,0.923963
Arpanet196912,0003,0.031663302,0.961027
Arpanet196912,0004,0.032882847,1.208269
Arpanet19706,0000,0.060473823,0.899989
Arpanet19706,0001,0.036441766,0.899991
Arpanet19706,0002,0.045624039,0.899989
Arpanet19706,0003,0.035267458,0.899991
Arpanet19706,0004,0.035591591,0.899991
Arpanet19719,0000,0.253354341,0.90000825
Arpanet19719,0001,0.199941421,0.899991
Arpanet19719,0002,0.318280542,0.9000645
Arpanet19719,0003,0.253137966,0.9000075
Arpanet19719,0004,0.20473317,0.900008
Arpanet19723,0000,0.521470903,0.900001
Arpanet19723,0001,0.494305671,0.8999855
Arpanet19723,0002,0.516283085,0.900035
Arpanet19723,0003,0.526591021,0.900016
Arpanet19723,0004,0.734226602,0.90001275
Arpanet19728,0000,1.646337593,0.90002725
Arpanet19728,0001,1.680297376,0.899979
Arpanet19728,0002,3.130831446,0.90001325
Arpanet19728,0003,2.520320166,0.900022
