Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Aarnet,0.115,0.154,1824,5301
Abilene,0.03,0.036,558,1628
Abvt,0.053,0.26,5052,35081
Aconet,0.047,0.229,4396,31534
Agis,0.054,0.095,3134,11322
Ai3,0.022,0.02,90,90
Airtel,0.036,0.066,1528,7546
Amres,0.05,0.042,600,600
Ans,0.044,0.178,3077,21624
Arn,0.046,0.046,870,870
Arnes,0.175,0.303,7408,36009
Arpanet196912,0.015,0.014,22,22
Arpanet19706,0.025,0.02,160,180
Arpanet19719,0.044,0.077,1962,7750
Arpanet19723,0.051,0.121,3534,12332
Arpanet19728,0.068,0.42,7422,50200
AsnetAm,0.248,0.934,28354,149185
Atmnet,0.044,0.058,1754,3348
AttMpls,0.072,2.381,10828,164337
Azrena,0.034,0.036,462,462
Bandcon,0.047,0.129,3290,16824
Basnet,0.019,0.017,42,42
Bbnplanet,0.046,0.057,1986,3344
Bellcanada,0.189,2.452,29046,270611
Bellsouth,0.218,2.514,31368,310517
Belnet2003,0.054,0.194,4158,31845
Belnet2004,0.056,0.197,4158,31845
Belnet2005,0.12,0.288,5107,31774
Belnet2006,0.118,0.28,5107,31774
Belnet2007,0.047,0.114,2828,11930
Belnet2008,0.05,0.124,2828,11930
Belnet2009,0.044,0.126,2828,11930
Belnet2010,0.045,0.098,2730,9653
BeyondTheNetwork,0.215,2.23,30172,256308
Bics,0.116,1.746,14316,146959
Biznet,0.06,0.108,3754,10080
Bren,0.073,0.083,2860,3200
BsonetEurope,0.042,0.113,2319,11959
BtAsiaPac,0.046,0.176,3408,23062
BtEurope,0.057,0.42,6434,56317
BtLatinAmerica,0.112,0.206,7650,20108
BtNorthAmerica,0.177,23.252,32652,769029
Canerie,0.074,0.287,8198,43671
Carnet,0.071,0.072,1892,1892
Cernet,0.269,0.244,5853,12992
Cesnet1993,0.022,0.021,90,90
Cesnet1997,0.025,0.028,156,156
Cesnet1999,0.02,0.024,156,156
Cesnet2001,0.103,0.06,533,533
Cesnet200304,0.563,1.063,2091,3051
Cesnet200511,0.087,0.194,7478,27305
Cesnet200603,0.088,0.184,7478,27305
Cesnet200706,0.108,0.231,9514,37687
Cesnet201006,0.324,0.726,18822,116957
Chinanet,0.16,2.931,25231,307328
Claranet,0.034,0.039,780,1746
Cogentco,24.122,3600.148,1422276,-
Colt,5.901,209.685,425294,5044664
Columbus,0.526,11.892,73470,812688
Compuserve,0.028,0.048,944,3048
CrlNetworkServices,0.092,0.258,7424,33737
Cudi,0.116,0.137,4678,5348
Cwix,0.082,0.273,8922,40528
Cynet,0.054,0.061,870,870
Darkstrand,0.064,0.141,4670,16679
Dataxchange,0.017,0.023,114,282
Deltacom,3.971,3549.747,460612,14421224
DeutscheTelekom,0.083,1.58,12378,143678
Dfn,0.422,26.553,64559,1058483
DialtelecomCz,4.718,164.425,299344,3814235
Digex,0.073,0.271,6828,31036
Easynet,0.042,0.085,2127,9228
Eenet,0.047,0.042,252,252
EliBackbone,0.05,0.261,4025,30782
Epoch,0.017,0.033,138,330
Ernet,0.067,0.104,3770,9448
Esnet,0.894,1.488,40608,234026
Eunetworks,0.029,0.045,806,2126
Evolink,0.083,0.281,8738,38724
Fatman,0.037,0.051,1320,4172
Fccn,0.04,0.048,1386,2466
Forthnet,0.129,0.148,5220,5220
Funet,0.054,0.148,4198,16135
Gambia,0.051,0.062,1788,2192
Garr199901,0.032,0.034,620,1000
Garr199904,0.038,0.044,1294,2082
Garr199905,0.043,0.043,1294,2082
Garr200109,0.046,0.038,1170,1878
Garr200112,0.042,0.053,1400,2248
Garr200212,0.047,0.057,1766,2830
Garr200404,0.038,0.041,1182,1902
Garr200902,0.421,0.54,18770,77274
Garr200908,0.365,0.547,18410,74325
Garr200909,0.638,1.31,19035,76927
Garr200912,0.367,1.423,18509,75219
Garr201001,0.9,3.075,20215,90215
Garr201003,0.376,0.51,18903,78607
Garr201004,1.538,0.538,18903,78607
Garr201005,0.398,0.655,19445,80393
Garr201007,0.89,0.645,19610,81292
Garr201008,0.488,0.554,19610,81292
Garr201010,0.427,0.578,20232,84014
Garr201012,0.207,0.558,21418,98946
Garr201101,0.635,0.597,22148,102796
Garr201102,0.84,1.112,23054,106940
Garr201103,0.472,0.696,24099,111747
Garr201104,0.768,1.416,26387,129003
Garr201105,0.612,1.461,25387,120913
Garr201107,0.534,1.819,25446,121367
Garr201108,0.489,1.288,25446,121367
Garr201109,0.511,0.803,26109,131093
Garr201110,0.498,0.72,25149,118058
Garr201111,0.489,1.466,23968,103198
Garr201112,0.527,1.091,24876,107426
Garr201201,0.549,0.74,25413,112522
Gblnet,0.02,0.016,56,56
Geant2001,0.138,0.398,6470,45764
Geant2009,0.22,2.43,16240,175862
Geant2010,1.529,0.527,12956,80105
Geant2012,0.259,2.017,15589,96943
Getnet,0.024,0.024,130,202
Globalcenter,0.022,0.063,576,3600
Globenet,0.557,35.993,84198,1371215
Goodnet,0.078,0.219,2923,25609
Grena,0.031,0.03,240,240
Gridnet,0.024,0.044,552,3024
Grnet,0.181,0.166,4523,7978
GtsCe,10.113,3600.143,733481,-
GtsCzechRepublic,0.068,0.121,4006,7444
GtsHungary,0.063,0.099,2874,4320
GtsPoland,0.083,0.282,8576,40859
GtsRomania,0.043,0.052,1794,4442
GtsSlovakia,0.074,0.134,5082,14938
Harnet,0.045,0.08,2236,7689
Heanet,0.019,0.026,216,753
HiberniaCanada,0.027,0.029,504,784
HiberniaGlobal,0.371,24.49,60773,944811
HiberniaIreland,0.02,0.022,104,104
