Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Aarnet,0.066,0.074,0.091,1792,5161,8869,29.109811565951915%,5.203670094777173%,0.5934267400002677%
Abilene,0.03,0.036,0.049,558,1628,3166,50.727272727272734%,18.048780487804876%,4.9115730685696555%
Abvt,0.053,0.26,2.987,5052,35081,175707,45.38268056054618%,15.685529304455137%,4.1230946992771615%
Aconet,0.047,0.229,1.69,4396,31534,127154,39.4897592526051%,14.09958328116896%,2.983762646860331%
Agis,0.054,0.095,0.226,3134,11322,26256,21.76388888888889%,3.5603773584905656%,0.39225528863391895%
Ai3,0.022,0.02,0.02,90,90,90,11.11111111111111%,1.5384615384615385%,0.24937655860349126%
Airtel,0.036,0.066,0.323,1528,7546,29402,42.44444444444444%,15.960236886632826%,5.145247095058099%
Amres,0.05,0.042,0.043,600,600,600,4.166666666666666%,0.18867924528301888%,0.008963786303334529%
Ans,0.044,0.178,1.955,3077,21624,110158,59.150326797385624%,27.496757457846954%,9.952819022733966%
Arn,0.046,0.046,0.055,870,870,870,3.4482758620689653%,0.12738853503184713%,0.004892128565138692%
Arnes,0.073,0.228,1.176,7368,35843,127758,19.89953005995787%,3.1166471022999%,0.3698759465987585%
Arpanet196912,0.015,0.014,0.014,22,22,22,61.111111111111114%,36.666666666666664%,36.666666666666664%
Arpanet19706,0.025,0.02,0.022,160,180,180,27.77777777777778%,5.0%,0.9615384615384616%
Arpanet19719,0.044,0.077,0.201,1962,7750,20996,37.71626297577855%,9.854784974949773%,1.896996933507529%
Arpanet19723,0.051,0.121,0.261,3534,12332,29591,24.541666666666668%,3.8779874213836476%,0.4420790008366201%
Arpanet19728,0.068,0.42,3.519,7422,50200,205528,32.64426460239268%,8.468857547742763%,1.3846460639639542%
AsnetAm,0.248,0.934,6.315,28354,149185,589679,10.649789663461538%,0.9033193664018601%,0.05851721445837309%
Atmnet,0.044,0.058,0.076,1754,3348,3996,20.88095238095238%,2.202052091554854%,0.15405255366395262%
AttMpls,0.072,2.381,1065.731,10828,164337,2147678,75.19444444444444%,51.678301886792454%,32.085544400621494%
Azrena,0.034,0.036,0.05,462,462,462,4.761904761904762%,0.24937655860349126%,0.013810247203424941%
Bandcon,0.047,0.129,0.69,3290,16824,63081,39.166666666666664%,11.0655090765588%,2.4318791635825314%
Basnet,0.019,0.017,0.016,42,42,42,16.666666666666664%,3.8461538461538463%,1.1627906976744187%
Bbnplanet,0.046,0.057,0.064,1986,3344,3890,10.880999342537805%,0.7609477258039559%,0.03841196826085222%
Bellcanada,0.189,2.452,156.238,29046,270611,1873159,27.393617021276594%,5.666116409880166%,0.8909095519998552%
Bellsouth,0.218,2.514,170.503,31368,310517,2304200,24.60235294117647%,5.06958253742796%,0.800035276271187%
Belnet2003,0.054,0.194,2.066,4158,31845,158993,37.351778656126484%,14.23863859925241%,3.7308883284227363%
Belnet2004,0.056,0.197,2.08,4158,31845,158993,37.351778656126484%,14.23863859925241%,3.7308883284227363%
