Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.15,0.316,0.216,0.39,0.9432922,0.9432921999999999
Aarnet,0001,0.148,0.303,0.214,0.377,0.9335895,0.9335895
Aarnet,0002,0.147,0.302,0.213,0.376,0.9634367,0.9634367
Aarnet,0003,0.168,0.288,0.234,0.362,0.9720654,0.9720654
Aarnet,0004,0.135,0.378,0.201,0.452,1.1249961,1.1249961
Abilene,0000,0.272,0.486,0.30200000000000005,0.522,0.9000360685120885,0.9000417450327932
Abilene,0001,0.095,0.154,0.125,0.19,0.9000108506944444,0.9000588499469522
Abilene,0002,0.14,0.187,0.17,0.223,0.9000662093299897,0.9000195412969393
Abilene,0003,0.154,0.215,0.184,0.251,0.9,0.9000753018100566
Abilene,0004,0.169,0.677,0.199,0.7130000000000001,0.9000458642779063,0.9000334311905221
Abvt,0000,0.401,3.196,0.454,3.4560000000000004,0.89998375,0.9000279166666666
Abvt,0001,0.267,2.273,0.32,2.5330000000000004,0.9000313333333333,0.8999877499999999
Abvt,0002,0.272,1.977,0.325,2.237,0.9000019166666667,0.9000347499999997
Abvt,0003,0.275,1.882,0.328,2.142,0.8999901666666668,0.8999695
Abvt,0004,0.27,2.192,0.323,2.452,0.8999935,0.9000284999999999
Aconet,0000,0.317,2.315,0.364,2.544,0.9000464905660378,0.8999990943396227
Aconet,0001,0.274,1.901,0.321,2.13,0.900012679245283,0.9000368301886793
Aconet,0002,0.348,2.534,0.39499999999999996,2.763,0.9000716226415094,0.9000498113207547
Aconet,0003,0.288,2.146,0.33499999999999996,2.375,0.9000538113207547,0.9000401509433962
Aconet,0004,0.365,1.814,0.412,2.043,0.9000307924528302,0.9000651320754717
Agis,0000,0.223,1.045,0.277,1.14,0.8998129032258064,0.8998064516129032
Agis,0001,0.484,1.654,0.538,1.7489999999999999,0.8997666666666667,0.8997612903225807
Agis,0002,0.221,1.152,0.275,1.2469999999999999,0.8997193548387097,0.8997774193548387
Agis,0003,0.385,0.967,0.439,1.062,0.8998193548387097,0.8998
Agis,0004,0.235,0.851,0.289,0.946,0.8997967741935484,0.8997903225806452
