Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.404,1.995,0.9432922,0.9432921999999999
Aarnet,0001,0.177,1.933,0.9335895,0.9335895
Aarnet,0002,0.166,1.919,0.9634366999999998,0.9634366999999999
Aarnet,0003,0.178,2.027,0.9720654,0.9720654
Aarnet,0004,0.167,2.163,1.1249961,1.1249961
Abilene,0000,0.121,0.278,0.9000525454925411,0.900022203735854
Abilene,0001,0.082,0.296,0.900046718267747,0.9000255694605196
Abilene,0002,0.13,0.541,0.9000396351755401,0.9000810034481096
Abilene,0003,0.079,0.339,0.9000174314396862,0.9000892168209876
Abilene,0004,0.155,0.387,0.9000644259982639,0.9000639738859953
Abvt,0000,0.343,6.111,0.9000261666666667,0.9000070833333332
Abvt,0001,0.37,6.142,0.8999703333333332,0.9000131666666668
Abvt,0002,0.352,5.475,0.8999981666666668,0.9000234166666665
Abvt,0003,0.323,5.674,0.9000456666666666,0.8999695
Abvt,0004,0.363,5.906,0.9000126666666666,0.9000411666666667
Aconet,0000,0.327,4.438,0.900013962264151,0.9000828679245283
Aconet,0001,0.306,4.113,0.9000201509433963,0.8999964528301887
Aconet,0002,0.375,4.794,0.9000562264150943,0.9000343396226415
Aconet,0003,0.318,4.866,0.9000615094339622,0.9000067169811321
Aconet,0004,0.305,4.329,0.9000647547169811,0.9000636981132075
Agis,0000,0.29,5.652,0.8997999999999999,0.8998225806451613
Agis,0001,0.38,5.562,0.8997741935483871,0.8997774193548387
Agis,0002,0.36,4.991,0.899711111111111,0.8997806451612903
Agis,0003,0.632,5.046,0.8998,0.8997777777777778
Agis,0004,0.304,4.904,0.8997354838709677,0.8998129032258064
Ai3,0000,0.043,0.109,0.899993,0.899993
Ai3,0001,0.044,0.116,0.899994,0.899994
Ai3,0002,0.045,0.154,0.899992,0.899992
Ai3,0003,0.043,0.121,0.899993,0.899993
Ai3,0004,0.043,0.104,0.899991,0.899991
Airtel,0000,0.382,1.712,0.9000336666666666,0.9000363333333333
Airtel,0001,2.401,4.959,0.9000460999999997,0.9000306
Airtel,0002,0.362,6.865,0.899993,0.899993
Airtel,0003,1.756,9.798,0.900037,0.900059
Airtel,0004,0.343,1.223,0.9000679999999999,0.900077
Amres,0000,0.26,4.816,0.899929,0.899929
Amres,0001,0.207,4.765,0.899926,0.899926
Amres,0002,0.207,4.849,0.899926,0.899926
Amres,0003,0.193,4.829,0.899926,0.899926
Amres,0004,0.204,4.745,0.899943,0.899943
Ans,0000,0.779,5.219,0.8997722222222222,0.8997722222222222
Ans,0001,0.91,8.56,0.8999111111111111,0.8998777777777778
Ans,0002,0.903,2.475,0.8997777777777778,0.899794444444444
Ans,0003,0.278,3.097,0.8997277777777778,0.8997833333333334
Ans,0004,0.794,4.261,0.8997472222222218,0.8997222222222222
Arn,0000,0.241,6.694,0.8964583333333334,0.8964583333333334
Arn,0001,0.259,6.469,0.89675,0.89675
Arn,0002,0.265,6.681,0.8967916666666667,0.8967916666666667
Arn,0003,0.245,6.114,0.8964583333333334,0.8964583333333334
Arn,0004,0.256,6.55,0.8967916666666667,0.8967916666666667
Arnes,0000,0.778,18.265,0.902592,0.900060625
Arnes,0001,0.669,18.294,0.905321,0.900014375
Arnes,0002,0.709,19.428,0.900753125,0.900041125
Arnes,0003,0.786,18.488,0.903266625,0.900031125
Arnes,0004,0.582,17.602,0.904454875,0.90006125
Arpanet196912,0000,0.033,0.036,0.962446,0.962446
Arpanet196912,0001,0.031,0.041,1.132629,1.132629
Arpanet196912,0002,0.033,0.036,0.923963,0.923963
Arpanet196912,0003,0.032,0.041,0.961027,0.961027
Arpanet196912,0004,0.032,0.041,1.208269,1.208269
Arpanet19706,0000,0.042,0.135,0.899989,0.8999889999999999
Arpanet19706,0001,0.045,0.085,0.899991,0.899991
Arpanet19706,0002,0.045,0.095,0.899989,0.899989
Arpanet19706,0003,0.045,0.087,0.8999909999999999,0.899991
Arpanet19706,0004,0.04,0.131,0.899991,0.899991
Arpanet19719,0000,0.229,1.547,0.8999912499999999,0.900016
Arpanet19719,0001,0.177,1.646,0.900038,0.8999805
Arpanet19719,0002,0.243,1.648,0.900047,0.90003325
Arpanet19719,0003,0.184,1.695,0.900067,0.900031
Arpanet19719,0004,0.193,1.654,0.9000405,0.9000495
Arpanet19723,0000,0.608,7.18,0.900035,0.899986
Arpanet19723,0001,0.526,6.984,0.90002525,0.8999985
Arpanet19723,0002,0.426,6.607,0.89998925,0.90000375
Arpanet19723,0003,0.39,6.617,0.899966,0.89999975
Arpanet19723,0004,0.428,6.96,0.89998075,0.89999775
Arpanet19728,0000,1.315,21.179,0.900009,0.8999785
Arpanet19728,0001,1.03,19.882,0.8999855,0.90001925
Arpanet19728,0002,1.841,19.374,0.89999275,0.900027
Arpanet19728,0003,1.169,19.418,0.90002025,0.900014
Arpanet19728,0004,1.049,19.0,0.90003275,0.900052
AsnetAm,0000,4.31,952.214,0.899725,0.899725
AsnetAm,0001,4.561,938.272,0.899732,0.8997319999998581
AsnetAm,0002,4.16,1063.564,0.899717,0.899717
AsnetAm,0003,4.279,964.108,0.899718,0.899718
AsnetAm,0004,5.383,1258.895,0.899862125,0.8999025
Atmnet,0000,0.264,2.74,0.8998548387096774,0.8999032258064517
Atmnet,0001,0.553,2.812,0.8998967741935484,0.8998709677419355
Atmnet,0002,0.332,2.82,0.8999,0.8998903225806452
Atmnet,0003,0.229,2.882,0.8999322580645162,0.8998903225806452
Atmnet,0004,0.23,2.858,0.8998935483870968,0.8998645161290323
AttMpls,0000,142.369,1803.149,0.9000771666666667,0.9000995833333334
AttMpls,0001,220.315,1802.83,0.9001031666666667,0.9001067916666666
AttMpls,0002,5.23,135.702,0.9000588333333333,0.9000265416666666
AttMpls,0003,8.471,234.208,0.90007225,0.9000589166666666
AttMpls,0004,8.913,32.989,0.900024,0.9000486666666666
Azrena,0000,0.153,2.412,0.89996,0.89996
Azrena,0001,0.147,2.424,0.899949,0.899949
Azrena,0002,0.149,2.612,0.899956,0.899956
Azrena,0003,0.188,2.666,0.899946,0.899946
Azrena,0004,0.215,2.361,0.899962,0.899962
Bandcon,0000,0.316,3.475,0.8999876666666666,0.9000045833333333
Bandcon,0001,0.304,3.028,0.900019,0.9000203333333334
Bandcon,0002,0.27,3.22,0.8999805,0.9000085
Bandcon,0003,0.266,3.405,0.9000314166666666,0.9000659999999999
Bandcon,0004,0.243,3.178,0.9000195,0.9000605
Basnet,0000,0.065,0.061,0.8997419354838709,0.8997419354838709
Basnet,0001,0.033,0.048,0.8996129032258064,0.8996129032258064
Basnet,0002,0.033,0.101,0.8996129032258064,0.8996129032258064
