Topology,DemandFile,TotalTime,pre-opt-uMax,post-opt-uMax
Aarnet,0000,1800.160860635,1.226691525,0.8999912
Aarnet,0001,1800.020891346,0.9335895,0.8999904
Aarnet,0002,1800.07650427,1.25085615,0.9000158
Aarnet,0003,1800.09441957,1.060537775,0.8999904
Aarnet,0004,1800.08760908,1.1249961,0.9000095
Abilene,0000,1800.007458431,1.2770134819878471,0.9000167281539352
Abilene,0001,1800.039969979,1.3379562817483281,0.899999497653035
Abilene,0002,1800.020863351,1.1369629408596964,0.9000582471305941
Abilene,0003,1800.018454306,1.104416333108282,0.9000414436246142
Abilene,0004,1800.021954667,1.2470709655510546,0.9068785365226337
Abvt,0000,1800.294573089,0.9851180833333334,0.8999675
Abvt,0001,1800.026044618,1.0218915833333333,0.8999705
Abvt,0002,1800.052980649,1.25897425,0.899968
Abvt,0003,1800.066380923,1.0832241666666664,0.899971
Abvt,0004,1800.278807093,1.1959341666666665,0.899966
Aconet,0000,1800.330174365,1.092930113207547,0.9000005283018868
Aconet,0001,1800.083216953,0.9427636981132076,0.8999996226415095
Aconet,0002,1800.49786404,1.1188276981132075,0.8999978867924529
Aconet,0003,1800.049388437,1.013566641509434,0.9000027169811321
Aconet,0004,1800.632070598,1.0244360754716981,0.9000257358490567
Agis,0000,1800.022173005,1.3252451612903227,0.9029555555555555
Agis,0001,1800.215992444,1.372232258064516,0.9916222222222222
Agis,0002,1800.356246853,1.2767322580645162,0.9231677419354839
Agis,0003,1800.032447232,1.2994354838709676,0.9007777777777778
Agis,0004,1800.009175796,1.3048483870967742,0.9067806451612903
Ai3,0000,1800.001979133,0.899993,0.899993
Ai3,0001,1800.029583563,0.899994,0.899994
Ai3,0002,1800.030095942,0.899992,0.899992
Ai3,0003,1800.025911369,0.899993,0.899993
Ai3,0004,1800.006300652,0.899991,0.899991
Airtel,0000,1800.335376362,1.6175426666666666,1.07817
Airtel,0001,1800.228212651,1.1332566000000002,0.9602471666666667
Airtel,0002,1800.038363619,1.796209571428571,1.267923
Airtel,0003,1800.247869317,2.277398285714286,1.305861
Airtel,0004,1800.022745124,1.3525703333333334,0.935789
Amres,0000,1800.551766779,0.899929,0.899929
Amres,0001,1800.509674163,0.899926,0.899926
Amres,0002,1800.20755697,0.899926,0.899926
Amres,0003,1800.395334811,0.899926,0.899926
Amres,0004,1800.08960799,0.899943,0.899943
Ans,0000,1800.036731679,1.2010194444444444,0.9012666666666667
Ans,0001,1800.012674664,1.366475,0.9104888888888889
Ans,0002,1800.124241944,1.1603055555555555,0.9001333333333333
Ans,0003,1800.030264043,1.1101583333333334,0.9003111111111111
Ans,0004,1800.007904488,1.4288194444444444,0.9007111111111111
Arn,0000,1800.735277956,0.8964583333333334,0.8964583333333334
Arn,0001,1800.052919523,0.89675,0.89675
Arn,0002,1801.034025222,0.8967916666666667,0.8967916666666667
Arn,0003,1800.310688697,0.8964583333333334,0.8964583333333334
Arn,0004,1800.598107779,0.8967916666666667,0.8967916666666667
Arnes,0000,1800.44404439,1.540467375,0.941709375
Arnes,0001,1802.114574907,1.3326455,0.98626525
Arnes,0002,1800.338396192,1.297558375,0.905296
Arnes,0003,1800.259340454,1.512011875,0.9590365
Arnes,0004,1800.629780114,1.083160375,0.92769525
Arpanet196912,0000,1800.00206365,0.962446,0.962446
Arpanet196912,0001,1800.002434712,1.2433,1.178348
Arpanet196912,0002,1800.003660779,0.956687,0.956687
Arpanet196912,0003,1800.000325508,1.052865,1.052865
Arpanet196912,0004,1800.002254526,1.470942,1.064527
Arpanet19706,0000,1800.014630153,0.899989,0.899989
Arpanet19706,0001,1800.007530129,0.899991,0.899991
Arpanet19706,0002,1800.017254158,0.931959,0.899989
Arpanet19706,0003,1800.008175774,0.899991,0.899991
Arpanet19706,0004,1800.022325601,0.899991,0.899991
Arpanet19719,0000,1800.074340935,0.95448175,0.899983
Arpanet19719,0001,1800.094523386,1.2369775,0.899979
Arpanet19719,0002,1800.194926485,1.0865745,0.8999795
Arpanet19719,0003,1800.238972752,0.937374,0.89998
Arpanet19719,0004,1800.203193793,0.988302,0.89999
