Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Aarnet,0000,0.058,0.062,1416,3701
Aarnet,0001,0.046,0.046,1257,2588
Aarnet,0002,0.038,0.049,1239,2465
Aarnet,0003,0.045,0.059,1648,4602
Aarnet,0004,0.04,0.056,1358,2996
Abilene,0000,0.034,0.026,425,869
Abilene,0001,0.033,0.03,305,490
Abilene,0002,0.025,0.038,459,1035
Abilene,0003,0.021,0.031,370,708
Abilene,0004,0.031,0.029,386,760
Abvt,0000,0.078,0.086,3116,10922
Abvt,0001,0.055,0.082,2789,8423
Abvt,0002,0.055,0.075,2325,5251
Abvt,0003,0.055,0.09,2963,9690
Abvt,0004,0.057,0.095,3032,8195
Aconet,0000,0.052,0.079,2979,5998
Aconet,0001,0.053,0.104,2894,6265
Aconet,0002,0.081,0.084,2571,5949
Aconet,0003,0.053,0.077,2903,7566
Aconet,0004,0.049,0.082,3201,7593
Agis,0000,0.057,0.078,2723,6983
Agis,0001,0.058,0.079,2619,7030
Agis,0002,0.047,0.067,2563,5737
Agis,0003,0.054,0.079,2874,7431
Agis,0004,0.061,0.075,2707,7383
Airtel,0000,0.048,0.078,1552,5900
Airtel,0001,0.035,0.068,1602,5739
Airtel,0002,0.035,0.071,1492,5912
Airtel,0003,0.04,0.067,1562,5662
Airtel,0004,0.033,0.068,1548,5746
Ans,0000,0.039,0.065,1734,5894
Ans,0001,0.036,0.062,1702,5233
Ans,0002,0.043,0.07,1830,6173
Ans,0003,0.036,0.079,1933,7434
Ans,0004,0.036,0.087,1609,5118
Arnes,0000,0.089,0.137,6483,18679
Arnes,0001,0.092,0.138,5513,15341
Arnes,0002,0.089,0.17,7327,27496
Arnes,0003,0.091,0.176,6804,23359
Arnes,0004,0.089,0.198,7383,28117
Arpanet196912,0001,0.018,0.015,22,22
Arpanet196912,0004,0.014,0.017,25,25
Arpanet19706,0002,0.021,0.024,151,178
Arpanet19719,0000,0.034,0.059,1140,1967
Arpanet19719,0001,0.036,0.05,1051,1970
Arpanet19719,0002,0.035,0.06,1368,3509
Arpanet19719,0003,0.034,0.058,1251,2410
Arpanet19719,0004,0.035,0.056,1293,2603
Arpanet19723,0000,0.059,0.074,2082,3762
Arpanet19723,0001,0.061,0.081,2449,5558
Arpanet19723,0002,0.06,0.075,2172,3757
Arpanet19723,0003,0.062,0.077,2271,4358
Arpanet19723,0004,0.058,0.077,2312,4749
Arpanet19728,0000,0.069,0.101,3545,8769
Arpanet19728,0001,0.067,0.11,3607,10223
Arpanet19728,0002,0.076,0.111,3638,10762
Arpanet19728,0003,0.074,0.112,3821,11333
Arpanet19728,0004,0.076,0.107,3660,9703
AsnetAm,0000,0.28,0.558,21210,76213
AsnetAm,0001,0.245,0.404,22068,62006
AsnetAm,0002,0.294,0.369,19511,42910
AsnetAm,0003,0.237,0.496,25092,87073
AsnetAm,0004,0.321,0.52,22658,57055
Atmnet,0000,0.048,0.05,1116,1698
Atmnet,0001,0.049,0.059,1157,1693
Atmnet,0002,0.052,0.056,1294,2435
