Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.116,0.159,0.17400000000000002,0.221,0.8999912,0.8999912
Aarnet,0001,0.081,0.137,0.127,0.183,0.8999904,0.8999903999999999
Aarnet,0002,0.101,0.171,0.139,0.22000000000000003,0.9000824,0.9000144
Aarnet,0003,0.095,0.217,0.14,0.276,0.8999904,0.8999904
Aarnet,0004,0.121,0.212,0.161,0.268,0.90000765,0.90007615
Abilene,0000,0.076,0.174,0.11,0.19999999999999998,0.9000217013888889,0.9000444577064043
Abilene,0001,0.113,0.116,0.14600000000000002,0.14600000000000002,0.9000109511638374,0.9000420966756687
Abilene,0002,0.25,0.148,0.275,0.186,0.9000261973942258,0.9000029387297455
Abilene,0003,0.074,0.142,0.095,0.173,0.9000405896347736,0.9000193905928497
Abilene,0004,0.192,0.116,0.223,0.14500000000000002,0.9000891163515946,0.9000463163901748
Abvt,0000,0.181,0.722,0.259,0.8079999999999999,0.900009,0.8999825
Abvt,0001,0.171,0.429,0.226,0.511,0.899974,0.9000285
Abvt,0002,0.124,0.302,0.179,0.377,0.900036,0.899986
Abvt,0003,0.156,0.517,0.211,0.607,0.900025,0.8999695
Abvt,0004,0.184,0.542,0.241,0.637,0.900048,0.899983
Aconet,0000,0.161,0.414,0.213,0.493,0.9000094339622642,0.9000218113207548
Aconet,0001,0.148,0.327,0.20099999999999998,0.431,0.9000251320754717,0.9000178113207548
Aconet,0002,0.134,0.29,0.21500000000000002,0.374,0.8999980377358491,0.9000267169811321
Aconet,0003,0.162,0.454,0.215,0.531,0.900004,0.9000498113207547
Aconet,0004,0.163,0.419,0.21200000000000002,0.501,0.9000068679245283,0.9000062641509434
Agis,0000,0.211,0.58,0.268,0.6579999999999999,0.8997888888888889,0.8998111111111111
Agis,0001,0.461,0.65,0.519,0.729,0.8997935483870968,0.8997838709677419
Agis,0002,0.134,0.309,0.181,0.376,0.8997677419354839,0.8997290322580646
Agis,0003,0.144,0.408,0.19799999999999998,0.487,0.8997777777777778,0.8997888888888889
Agis,0004,0.235,0.617,0.296,0.692,0.8998032258064517,0.8997555555555555
Airtel,0000,0.454,1.736,0.502,1.814,0.9000605,0.900002
Airtel,0001,0.446,37.367,0.481,37.434999999999995,0.900084,0.900044
Airtel,0002,0.35,0.868,0.385,0.939,0.92613,0.92613
Airtel,0003,0.987,1.475,1.027,1.542,0.905433,0.905433
Airtel,0004,0.439,1.281,0.472,1.349,0.900048,0.900047
Ans,0000,0.128,0.855,0.167,0.9199999999999999,0.8997111111111111,0.8997555555555555
Ans,0001,0.296,2.599,0.33199999999999996,2.661,0.8999111111111111,0.8998888888888888
Ans,0002,0.234,1.002,0.277,1.072,0.8997999999999999,0.8997444444444445
