Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Aarnet,0.124,0.211,3122,20505
Abilene,0.079,0.051,558,1628
Abvt,0.116,0.43,5052,35081
Aconet,0.083,0.433,4846,42798
Agis,0.089,0.223,4266,20243
Ai3,0.033,0.056,90,90
Airtel,0.064,0.2,1528,7546
Amres,0.072,0.085,600,600
Ans,0.064,0.23,3077,21624
Arn,0.082,0.086,870,870
Arnes,0.187,0.529,10294,66158
Arpanet196912,0.021,0.041,22,22
Arpanet19706,0.042,0.052,160,180
Arpanet19719,0.058,0.103,1962,7750
Arpanet19723,0.107,0.201,3534,12332
Arpanet19728,0.111,0.561,7422,50200
AsnetAm,0.327,1.096,28354,149185
Atmnet,0.08,0.091,1754,3348
AttMpls,0.118,2.796,10828,164307
Azrena,0.055,0.055,462,462
Bandcon,0.07,0.194,3290,16824
Basnet,0.021,0.022,42,42
Bbnplanet,0.095,0.099,1986,3344
Bellcanada,0.3,3.081,29046,270611
Bellsouth,0.312,2.925,31368,310517
Belnet2003,0.082,0.269,3570,32760
Belnet2004,0.072,0.272,3570,32760
Belnet2005,0.087,0.373,4254,41612
Belnet2006,0.081,0.396,4254,41612
Belnet2007,0.062,0.155,2828,11930
Belnet2008,0.086,0.176,2828,11930
Belnet2009,0.107,0.174,2828,11930
Belnet2010,0.094,0.172,2730,9653
BeyondTheNetwork,0.322,2.517,30172,256308
Bics,0.14,1.706,14316,146959
Biznet,0.134,0.139,3754,10080
Bren,0.125,0.155,2860,3200
BsonetEurope,0.051,0.162,2319,11959
BtAsiaPac,0.068,0.213,3408,23062
BtEurope,0.087,0.52,6434,56317
BtLatinAmerica,0.185,0.28,7650,20108
BtNorthAmerica,0.229,29.743,32652,769029
Canerie,0.128,0.373,8198,43671
Carnet,0.126,0.144,1892,1892
Cernet,0.168,1.158,16972,134799
Cesnet1993,0.034,0.04,90,90
Cesnet1997,0.04,0.039,156,156
Cesnet1999,0.058,0.05,156,156
Cesnet2001,0.062,0.079,1062,1286
Cesnet200304,0.108,0.166,3744,10126
Cesnet200511,0.19,0.376,9338,43320
Cesnet200603,0.199,0.331,9338,43320
Cesnet200706,0.181,0.338,10942,50050
Cesnet201006,0.223,0.657,17846,105226
Chinanet,0.223,3.764,25231,307328
Claranet,0.042,0.065,780,1746
Cogentco,23.482,1800.421,1422276,-
Colt,6.369,234.709,425294,5044664
Columbus,0.682,11.548,73470,812688
Compuserve,0.04,0.074,944,3048
CrlNetworkServices,0.144,0.321,7424,33737
Cudi,0.22,0.239,5710,8462
Cwix,0.142,0.356,8922,40528
Cynet,0.086,0.084,870,870
Darkstrand,0.138,0.241,4670,16679
Dataxchange,0.029,0.025,114,282
Deltacom,4.639,1800.35,460612,-
DeutscheTelekom,0.117,1.765,12378,143678
Dfn,0.53,28.918,64559,1058483
DialtelecomCz,5.589,168.37,299344,3814235
Digex,0.123,0.369,6828,31036
Easynet,0.077,0.17,2127,9228
Eenet,0.043,0.066,250,250
EliBackbone,0.08,0.319,4025,30774
Epoch,0.025,0.031,138,330
Ernet,0.149,0.197,3770,9448
Esnet,0.602,2.751,43444,323808
Eunetworks,0.045,0.073,806,2126
Evolink,0.147,0.373,8738,38724
Fatman,0.079,0.088,1320,4172
Fccn,0.084,0.099,1386,2466
Forthnet,0.229,0.218,5220,5220
Funet,0.08,0.242,4198,16135
Gambia,0.073,0.114,1788,2192
Garr199901,0.068,0.041,620,1000
Garr199904,0.073,0.071,1294,2082
Garr199905,0.095,0.06,1294,2082
Garr200109,0.058,0.07,1170,1878
Garr200112,0.081,0.095,1400,2248
Garr200212,0.09,0.081,1766,2830
Garr200404,0.057,0.056,1182,1902
Garr200902,0.39,6.452,41423,480185
Garr200908,0.349,5.855,41276,473138
Garr200909,0.344,5.81,42868,490891
Garr200912,0.349,5.388,41478,477533
Garr201001,0.375,5.793,41478,477533
Garr201003,0.346,5.729,41517,483125
Garr201004,0.346,5.782,41517,483125
Garr201005,0.38,6.498,42907,496640
Garr201007,0.367,6.779,43017,498284
Garr201008,0.399,6.321,43017,498284
Garr201010,0.389,6.704,44613,516231
Garr201012,0.381,6.728,44501,514573
Garr201101,0.436,7.042,44774,518141
Garr201102,0.417,7.111,46438,537896
Garr201103,0.421,7.175,48033,552162
Garr201104,0.465,8.669,53008,649743
Garr201105,0.46,8.024,51698,607368
Garr201107,0.45,8.551,51698,607368
Garr201108,0.465,8.368,51698,607368
Garr201109,0.464,7.899,51352,600118
Garr201110,0.462,7.686,51352,600203
Garr201111,0.48,5.056,47592,461290
Garr201112,0.47,5.64,49360,479289
Garr201201,0.501,5.76,49360,479289
Gblnet,0.029,0.05,56,56
Geant2001,0.13,0.744,7916,73191
Geant2009,0.18,2.694,17478,213935
Geant2010,0.187,3.337,21000,256121
Geant2012,0.224,5.666,27226,387533
Getnet,0.026,0.024,130,202
Globalcenter,0.048,0.112,576,3600
Globenet,0.795,37.332,84198,1371215
Goodnet,0.074,0.282,2923,25609
Grena,0.048,0.036,240,240
Gridnet,0.033,0.065,552,3024
Grnet,0.167,0.317,8722,37261
GtsCe,8.958,1800.065,733481,-
GtsCzechRepublic,0.129,0.16,4006,7444
GtsHungary,0.091,0.139,2874,4320
GtsPoland,0.145,0.349,8576,40859
GtsRomania,0.062,0.093,1794,4442
GtsSlovakia,0.136,0.181,5082,14938
Harnet,0.083,0.117,2236,7689
Heanet,0.032,0.038,216,753
HiberniaCanada,0.055,0.047,504,784
HiberniaGlobal,0.475,30.083,60773,944811
HiberniaIreland,0.026,0.023,104,104
HiberniaNireland,0.054,0.12,2179,9415
HiberniaUk,0.041,0.056,416,416
HiberniaUs,0.115,0.261,4218,28698
Highwinds,0.081,0.53,3576,34414
HostwayInternational,0.05,0.079,1528,6092
HurricaneElectric,0.117,0.384,5598,45127
Ibm,0.075,0.199,2744,18392
Iij,0.247,7.676,25684,407886
Iinet,0.14,0.158,4870,16166
Ilan,0.049,0.045,572,1232
Integra,0.12,0.632,7922,65506
Intellifiber,0.877,19.494,87598,1010193
Internetmci,0.079,0.4,3990,36828
Internode,0.47,2.968,46044,388510
Interoute,3.786,1800.992,415037,-
Intranetwork,0.221,0.77,14186,83191
Ion,4.69,654.021,371618,6797666
IowaStatewideFiberMap,0.122,0.678,10448,71449
Iris,0.278,3.673,33076,326745
Istar,0.078,0.049,854,854
Itnet,0.035,0.061,110,110
Janetbackbone,0.153,2.765,13444,176358
JanetExternal,0.037,0.023,90,90
Janetlense,0.111,0.422,4369,37915
Jgn2Plus,0.056,0.046,306,306
Karen,0.11,0.134,3262,10009
KentmanApr2007,0.07,0.069,1516,3252
KentmanAug2005,0.075,0.09,2442,6165
KentmanFeb2008,0.093,0.083,2112,4520
KentmanJan2011,0.182,0.099,2216,2216
KentmanJul2005,0.047,0.038,616,1028
Kreonet,0.048,0.028,156,156
LambdaNet,0.178,0.351,8952,31944
Latnet,0.31,0.365,12984,21580
Layer42,0.027,0.021,78,126
Litnet,0.128,0.119,3256,3256
Marnet,0.062,0.098,2284,8652
Marwan,0.055,0.057,1088,2884
Missouri,0.631,21.283,79040,1028796
Mren,0.022,0.023,30,30
Myren,0.12,0.131,4238,9026
Napnet,0.021,0.023,78,126
Navigata,0.059,0.066,732,2832
Netrail,0.047,0.03,190,462
NetworkUsa,0.178,0.237,6352,18030
Nextgen,0.05,0.057,984,1876
Niif,0.172,0.26,7068,25526
Noel,0.084,0.161,2388,11634
Nordu1989,0.029,0.02,42,42
Nordu1997,0.055,0.031,182,182
Nordu2005,0.041,0.023,130,136
Nordu2010,0.049,0.054,304,304
Nsfcnet,0.059,0.027,196,260
Nsfnet,0.04,0.044,732,1928
Ntelos,0.29,3.998,30480,312811
Ntt,0.295,23.319,21072,355863
Oteglobe,1.052,32.343,111282,1424457
Oxford,0.078,0.101,2244,8099
Pacificwave,0.045,0.047,832,1304
Packetexchange,0.063,0.116,2862,10680
Padi,0.027,0.026,42,42
Palmetto,0.281,7.876,34786,479481
Peer1,0.041,0.089,1574,6894
Pern,1.964,2.446,66092,191254
PionierL1,0.179,0.503,9982,54241
PionierL3,0.185,0.641,12000,75481
Psinet,0.067,0.095,2222,4214
Quest,0.074,0.339,4178,35145
RedBestel,1.306,15.223,96890,948093
Rediris,0.065,0.296,3684,27406
Renam,0.023,0.025,20,20
Renater1999,0.076,0.055,552,552
Renater2001,0.07,0.084,2354,6350
Renater2004,0.103,0.211,5572,24244
Renater2006,0.146,0.532,10390,66814
Renater2008,0.131,0.526,10390,66814
Renater2010,0.205,2.946,25136,259874
Restena,0.051,0.077,1626,4192
Reuna,0.12,0.09,1332,1332
Rhnet,0.066,0.047,910,1498
Rnp,0.101,0.148,4448,11262
Roedunet,0.174,0.218,7032,20246
RoedunetFibre,0.207,0.595,15398,79409
Sago,0.054,0.042,306,306
Sanet,0.225,0.285,7912,21880
Sanren,0.036,0.022,84,84
Savvis,0.069,0.057,1328,2296
Shentel,0.143,0.318,6234,35141
Sinet,0.458,0.683,28098,82106
Singaren,0.032,0.032,110,110
Spiralight,0.064,0.053,978,1930
Sprint,0.059,0.064,792,4151
Sunet,0.128,0.298,5230,26015
Surfnet,0.307,7.665,40869,512607
Switch,0.864,27.972,92614,1240383
SwitchL3,0.255,6.563,29445,422335
Syringa,0.554,0.64,10326,10326
TataNld,10.844,1800.175,819461,-
Telcove,0.258,0.267,4970,4970
Telecomserbia,0.028,0.044,102,126
Tinet,0.539,71.323,68784,1428505
TLex,0.043,0.034,384,640
Tw,1.145,1008.567,164054,4747264
Twaren,0.071,0.065,964,1156
Ulaknet,0.364,0.36,9420,9420
UniC,0.096,0.131,2238,4357
Uninet,0.047,0.071,1030,4024
Uninett2010,0.952,206.565,140481,3126068
Uninett2011,0.79,151.575,116631,2532855
Uran,0.061,0.065,892,1018
UsCarrier,8.394,1123.982,583290,9953918
UsSignal,0.55,42.385,72078,1148549
Uunet,0.404,41.143,53396,1095815
Vinaren,0.061,0.069,1218,1358
VisionNet,0.058,0.053,552,552
VtlWavenet2008,1.504,17.482,85974,795591
VtlWavenet2011,1.595,21.493,94730,871899
WideJpn,0.108,0.094,2346,4494
Xeex,0.113,0.545,6383,52697
Xspedius,0.161,2.479,17510,200777
York,0.066,0.09,1344,2340
Zamren,0.109,0.1,1190,1190
