Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.248,1.244,0.372,1.455,0.8999912,0.8999912
Aarnet,0001,0.216,1.236,0.33999999999999997,1.447,0.8999904,0.8999904
Aarnet,0002,0.346,1.457,0.47,1.6680000000000001,0.900031575,0.90001775
Aarnet,0003,0.228,1.273,0.352,1.484,0.8999904,0.8999904
Aarnet,0004,0.369,1.47,0.493,1.681,0.90004615,0.9000096
Abilene,0000,0.272,0.486,0.30200000000000005,0.522,0.9000360685120885,0.9000417450327932
Abilene,0001,0.095,0.154,0.125,0.19,0.9000108506944444,0.9000588499469522
Abilene,0002,0.14,0.187,0.17,0.223,0.9000662093299897,0.9000195412969393
Abilene,0003,0.154,0.215,0.184,0.251,0.9,0.9000753018100566
Abilene,0004,0.169,0.677,0.199,0.7130000000000001,0.9000458642779063,0.9000334311905221
Abvt,0000,0.401,3.196,0.454,3.4560000000000004,0.89998375,0.9000279166666666
Abvt,0001,0.267,2.273,0.32,2.5330000000000004,0.9000313333333333,0.8999877499999999
Abvt,0002,0.272,1.977,0.325,2.237,0.9000019166666667,0.9000347499999997
Abvt,0003,0.275,1.882,0.328,2.142,0.8999901666666668,0.8999695
Abvt,0004,0.27,2.192,0.323,2.452,0.8999935,0.9000284999999999
Aconet,0000,0.318,3.011,0.397,3.0620000000000003,0.9000520754716981,0.9000366037735849
Aconet,0001,0.3,2.491,0.379,2.5420000000000003,0.900030716981132,0.9000016603773583
Aconet,0002,0.38,3.251,0.459,3.302,0.9000852075471698,0.9000713962264151
Aconet,0003,0.323,2.961,0.402,3.012,0.9000024150943396,0.9000264905660378
Aconet,0004,0.341,2.711,0.42000000000000004,2.762,0.9000183396226415,0.9000426415094339
Agis,0000,0.321,2.035,0.437,2.4650000000000003,0.8998,0.8997666666666667
Agis,0001,0.449,3.645,0.5650000000000001,4.075,0.8997849462365591,0.8997774193548386
Agis,0002,0.332,1.536,0.448,1.966,0.8997851851851852,0.8997688172043009
Agis,0003,0.381,1.688,0.497,2.118,0.8997925925925925,0.8997741935483871
Agis,0004,0.438,1.81,0.554,2.24,0.8997685185185184,0.8997924731182795
Ai3,0000,0.036,0.037,0.057999999999999996,0.056999999999999995,0.899993,0.899993
Ai3,0001,0.039,0.045,0.061,0.065,0.899994,0.899994
Ai3,0002,0.037,0.037,0.059,0.056999999999999995,0.899992,0.899992
Ai3,0003,0.037,0.039,0.059,0.059,0.899993,0.899993
Ai3,0004,0.054,0.036,0.076,0.055999999999999994,0.899991,0.899991
Airtel,0000,0.577,2.575,0.613,2.641,0.9000526666666666,0.900083
Airtel,0001,1.878,7.451,1.914,7.5169999999999995,0.9000428,0.900025
Airtel,0002,1.259,5.404,1.295,5.47,0.899993,0.899993
Airtel,0003,1.993,10.705,2.029,10.771,0.9000479999999997,0.9000836666666666
Airtel,0004,0.297,0.92,0.33299999999999996,0.986,0.9000661666666666,0.9000236666666663
Amres,0000,0.069,0.069,0.15200000000000002,0.502,0.899929,0.899929
Amres,0001,0.067,0.097,0.15000000000000002,0.53,0.899926,0.899926
Amres,0002,0.069,0.068,0.15200000000000002,0.501,0.899926,0.899926
Amres,0003,0.066,0.067,0.14900000000000002,0.5,0.899926,0.899926
Amres,0004,0.069,0.068,0.15200000000000002,0.501,0.899943,0.899943
Ans,0000,1.013,1.794,1.057,1.972,0.8997777777777778,0.8997777777777778
Ans,0001,0.966,3.545,1.01,3.723,0.8998666666666667,0.8998777777777777
Ans,0002,0.485,3.237,0.529,3.415,0.8997277777777778,0.8997666666666667
Ans,0003,0.335,1.408,0.379,1.5859999999999999,0.8997722222222222,0.8997555555555555
Ans,0004,0.744,1.556,0.788,1.734,0.8997055555555528,0.8996833333333333
Arn,0000,0.077,0.09,0.16599999999999998,0.313,0.8964583333333334,0.8964583333333334
Arn,0001,0.077,0.075,0.16599999999999998,0.298,0.89675,0.89675
Arn,0002,0.077,0.076,0.16599999999999998,0.299,0.8967916666666667,0.8967916666666667
Arn,0003,0.078,0.075,0.16699999999999998,0.298,0.8964583333333334,0.8964583333333334
Arn,0004,0.076,0.077,0.16499999999999998,0.3,0.8967916666666667,0.8967916666666667
Arnes,0000,0.723,6.89,0.756,6.946,0.90261375,0.90000325
Arnes,0001,0.623,5.799,0.656,5.855,0.905294375,0.90006625
Arnes,0002,0.68,5.628,0.7130000000000001,5.684,0.90068775,0.900027875
Arnes,0003,0.749,6.023,0.782,6.079,0.90325925,0.9000475
Arnes,0004,0.482,3.971,0.515,4.027,0.904476375,0.9000775
Arpanet196912,0000,0.036,0.035,0.051,0.049,0.962446,0.962446
Arpanet196912,0001,0.045,0.043,0.06,0.056999999999999995,1.132629,1.132629
Arpanet196912,0002,0.035,0.071,0.05,0.08499999999999999,0.923963,0.923963
Arpanet196912,0003,0.035,0.05,0.05,0.064,0.961027,0.961027
Arpanet196912,0004,0.035,0.034,0.05,0.048,1.208269,1.208269
Arpanet19706,0000,0.042,0.042,0.067,0.062,0.899989,0.899989
Arpanet19706,0001,0.053,0.087,0.078,0.107,0.899991,0.899991
