Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Aarnet,0.076,0.08,2490,8856
Abilene,0.034,0.028,450,821
Abvt,0.065,0.095,3758,11775
Aconet,0.063,0.091,4042,11472
Agis,0.058,0.101,3508,8975
Ai3,0.029,0.027,90,90
Airtel,0.043,0.07,1500,6068
Amres,0.051,0.051,600,600
Ans,0.038,0.077,2245,6543
Arn,0.05,0.054,870,870
Arnes,0.085,0.24,9210,38439
Arpanet196912,0.014,0.018,22,22
Arpanet19706,0.019,0.019,150,170
Arpanet19719,0.032,0.053,1394,3022
Arpanet19723,0.047,0.073,2384,4588
Arpanet19728,0.067,0.093,4104,7632
AsnetAm,0.224,0.523,25244,82395
Atmnet,0.045,0.05,1152,1464
AttMpls,0.075,0.594,8908,64051
Azrena,0.037,0.04,462,462
Bandcon,0.048,0.086,2830,8541
Basnet,0.021,0.017,42,42
Bbnplanet,0.048,0.058,1694,2008
Bellcanada,0.148,1.106,23770,130959
Bellsouth,0.235,1.602,30560,216283
Belnet2003,0.066,0.155,3308,26936
Belnet2004,0.065,0.154,3308,26936
Belnet2005,0.05,0.175,3650,29380
Belnet2006,0.055,0.181,3650,29380
Belnet2007,0.044,0.068,2064,4351
Belnet2008,0.066,0.069,2064,4351
Belnet2009,0.041,0.07,2064,4401
Belnet2010,0.047,0.061,1940,3382
BeyondTheNetwork,0.163,0.667,25316,113703
Bics,0.086,0.501,11900,64833
Biznet,0.067,0.107,3104,6240
Bren,0.086,0.09,2590,2768
BsonetEurope,0.036,0.108,2001,6425
BtAsiaPac,0.043,0.098,3122,12732
BtEurope,0.057,0.164,5824,27286
BtLatinAmerica,0.115,0.165,7318,16036
BtNorthAmerica,0.126,3.592,25694,237396
Canerie,0.078,0.185,7716,31321
Carnet,0.088,0.095,1892,1892
Cernet,0.135,0.464,15672,77300
Cesnet1993,0.027,0.027,90,90
Cesnet1997,0.03,0.027,156,156
Cesnet1999,0.025,0.028,156,156
Cesnet2001,0.043,0.046,1062,1286
Cesnet200304,0.068,0.081,3414,6410
Cesnet200511,0.114,0.191,8784,28125
Cesnet200603,0.112,0.191,8784,28125
Cesnet200706,0.113,0.193,10484,35898
Cesnet201006,0.142,0.299,16526,60252
Chinanet,0.141,1.395,23839,177222
Claranet,0.03,0.04,730,1330
Cogentco,13.225,1800.113,1137474,-1
Colt,4.203,57.819,354628,2487117
Columbus,0.381,3.556,55564,321494
Compuserve,0.043,0.036,824,1486
CrlNetworkServices,0.091,0.147,4898,9846
Cudi,0.134,0.149,5266,5944
Cwix,0.079,0.117,6934,15624
Cynet,0.056,0.056,870,870
Darkstrand,0.054,0.075,3046,5230
Dataxchange,0.017,0.02,114,282
Deltacom,2.651,648.519,356682,5170556
DeutscheTelekom,0.1,0.644,11066,78422
Dfn,0.39,4.258,55197,375930
DialtelecomCz,3.059,15.132,201340,1119995
Digex,0.107,0.095,4478,8681
Easynet,0.049,0.07,2065,7542
Eenet,0.05,0.025,250,250
EliBackbone,0.071,0.102,3343,13729
Epoch,0.026,0.02,122,202
Ernet,0.106,0.088,3656,7709
Esnet,0.398,1.122,36426,166601
Eunetworks,0.037,0.032,570,809
Evolink,0.132,0.151,7090,21638
Fatman,0.045,0.052,1296,3634
Fccn,0.04,0.044,1386,2454
Forthnet,0.207,0.171,5220,5220
Funet,0.063,0.072,3108,6481
Gambia,0.058,0.052,1660,1936
Garr199901,0.031,0.035,620,1000
Garr199904,0.048,0.041,1294,2082
Garr199905,0.051,0.052,1294,2082
Garr200109,0.042,0.044,1170,1878
Garr200112,0.05,0.066,1400,2248
Garr200212,0.049,0.058,1766,2818
Garr200404,0.039,0.053,1182,1902
Garr200902,0.229,2.057,37075,239904
Garr200908,0.278,1.917,36938,236880
Garr200909,0.25,1.898,38400,246814
Garr200912,0.227,1.876,37078,240496
Garr201001,0.213,1.923,37078,240496
Garr201003,0.229,2.033,37107,242223
Garr201004,0.221,2.021,37107,242223
Garr201005,0.237,2.017,38429,248598
Garr201007,0.24,2.119,38539,249856
Garr201008,0.241,2.157,38539,249856
Garr201010,0.249,2.291,40005,259988
Garr201012,0.254,2.328,39893,258722
Garr201101,0.257,2.184,40166,260800
Garr201102,0.294,2.387,41768,274020
Garr201103,0.276,2.46,43325,283472
Garr201104,0.291,2.819,47396,318037
Garr201105,0.284,2.908,46748,313912
Garr201107,0.285,2.7,46748,313912
Garr201108,0.284,2.998,46748,313912
Garr201109,0.352,2.699,46492,308128
Garr201110,0.291,2.841,46492,308163
Garr201111,0.294,2.377,44004,268541
Garr201112,0.33,2.432,45586,277851
Garr201201,0.347,2.433,45586,277851
Gblnet,0.023,0.021,56,56
Geant2001,0.076,0.23,6972,36526
Geant2009,0.134,0.6,14082,81242
Geant2010,0.119,0.904,17400,110405
Geant2012,0.129,1.54,22464,164052
Getnet,0.026,0.019,124,180
Globalcenter,0.035,0.049,576,3600
Globenet,0.576,11.585,73505,673716
Goodnet,0.055,0.109,2667,13618
Grena,0.033,0.031,240,240
Gridnet,0.021,0.034,468,1548
Grnet,0.099,0.178,8148,24951
GtsCe,5.505,1187.024,597770,8679680
GtsCzechRepublic,0.069,0.151,2656,3260
GtsHungary,0.059,0.074,2470,3110
GtsPoland,0.081,0.108,6062,14200
GtsRomania,0.039,0.043,1690,3198
GtsSlovakia,0.082,0.115,4650,10346
Harnet,0.072,0.069,2038,4932
Heanet,0.024,0.031,204,498
HiberniaCanada,0.04,0.034,392,520
HiberniaGlobal,0.297,9.72,52609,512200
HiberniaIreland,0.022,0.026,94,94
HiberniaNireland,0.034,0.064,1491,2843
HiberniaUk,0.033,0.052,312,312
HiberniaUs,0.053,0.122,3550,14348
Highwinds,0.056,0.194,2992,16219
HostwayInternational,0.041,0.045,1270,3320
HurricaneElectric,0.059,0.151,4986,24119
Ibm,0.041,0.063,2028,5408
Iij,0.135,1.818,22114,171723
Iinet,0.087,0.108,4840,14112
Ilan,0.028,0.032,572,1100
Integra,0.069,0.193,5954,20217
Intellifiber,0.545,7.47,77108,576908
Internetmci,0.043,0.13,3314,15250
Internode,0.285,1.252,43040,228473
Interoute,2.228,160.984,309584,3527392
Intranetwork,0.12,0.46,13554,69417
Ion,2.772,42.506,255989,1782316
IowaStatewideFiberMap,0.086,0.181,7754,24243
Iris,0.159,1.038,27262,138051
Istar,0.048,0.045,854,854
Itnet,0.025,0.023,110,110
Janetbackbone,0.143,0.43,10501,53769
JanetExternal,0.023,0.027,90,90
Janetlense,0.056,0.18,4369,23773
Jgn2Plus,0.036,0.034,306,306
Karen,0.059,0.076,2996,7031
KentmanApr2007,0.047,0.057,1516,3112
KentmanAug2005,0.062,0.062,2396,5371
KentmanFeb2008,0.059,0.122,2112,4348
KentmanJan2011,0.082,0.082,2216,2216
KentmanJul2005,0.038,0.041,526,656
Kreonet,0.024,0.026,156,156
LambdaNet,0.108,0.153,6424,12896
Latnet,0.198,0.269,12948,20500
Layer42,0.019,0.018,78,114
Litnet,0.096,0.097,3246,3246
Marnet,0.045,0.076,2260,8004
Marwan,0.032,0.035,932,1634
Missouri,0.392,3.86,59501,363221
Mren,0.019,0.022,30,30
Myren,0.106,0.113,4238,8990
Napnet,0.02,0.018,78,114
Navigata,0.032,0.034,688,2036
Netrail,0.018,0.024,172,300
NetworkUsa,0.082,0.113,4686,7626
Nextgen,0.032,0.041,838,1238
Niif,0.08,0.11,5828,11643
Noel,0.038,0.076,2110,6474
Nordu1989,0.021,0.026,42,42
Nordu1997,0.034,0.026,182,182
Nordu2005,0.019,0.022,130,136
Nordu2010,0.032,0.031,304,304
Nsfcnet,0.022,0.027,196,260
Nsfnet,0.034,0.035,592,910
Ntelos,0.204,1.209,24948,149113
Ntt,0.162,3.195,18042,151497
Oteglobe,0.611,4.093,77636,401913
Oxford,0.04,0.067,1972,5042
Pacificwave,0.048,0.046,832,1292
Packetexchange,0.045,0.074,2552,7188
Padi,0.02,0.017,42,42
Palmetto,0.151,1.881,26880,175834
Peer1,0.033,0.042,1294,3208
Pern,1.254,1.502,59280,141452
PionierL1,0.084,0.15,7246,17249
PionierL3,0.099,0.19,8866,24268
Psinet,0.046,0.069,1480,1832
Quest,0.047,0.118,3396,14558
RedBestel,0.799,6.295,84002,565251
Rediris,0.04,0.111,3268,13559
Renam,0.017,0.016,20,20
Renater1999,0.041,0.058,552,552
Renater2001,0.045,0.053,2210,3836
Renater2004,0.068,0.094,4766,10301
Renater2006,0.075,0.158,8660,25397
Renater2008,0.081,0.165,8660,25397
Renater2010,0.131,0.637,18972,86714
Restena,0.041,0.047,1404,2270
Reuna,0.078,0.086,1332,1332
Rhnet,0.033,0.034,740,996
Rnp,0.074,0.108,4232,9714
Roedunet,0.128,0.165,7020,19036
RoedunetFibre,0.122,0.21,11534,26694
Sago,0.039,0.035,306,306
Sanet,0.125,0.155,5844,7770
Sanren,0.018,0.021,70,70
Savvis,0.037,0.041,942,1190
Shentel,0.071,0.158,5514,20827
Sinet,0.283,0.392,25142,49206
Singaren,0.026,0.035,110,110
Spiralight,0.038,0.038,750,1118
Sprint,0.025,0.046,694,2178
Sunet,0.066,0.138,4414,15433
Surfnet,0.191,1.83,33647,208878
Switch,0.453,4.611,71158,444464
SwitchL3,0.132,1.483,24635,167560
Syringa,0.395,0.334,7666,7666
