Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.195,0.315,0.263,0.383,0.8999912,0.8999912
Aarnet,0001,0.116,0.31,0.184,0.378,0.8999904,0.8999904
Aarnet,0002,0.157,0.492,0.225,0.56,0.90006195,0.900038
Aarnet,0003,0.116,0.254,0.184,0.322,0.8999904,0.8999904
Aarnet,0004,0.189,0.411,0.257,0.479,0.900012,0.8999976000000001
Abilene,0000,0.219,0.095,0.245,0.13,0.9000770600244341,0.9000251424655993
Abilene,0001,0.156,0.08,0.182,0.115,0.9000679173096707,0.9000679173096707
Abilene,0002,0.103,0.078,0.129,0.113,0.9000355410477752,0.9000758543917181
Abilene,0003,0.078,0.123,0.104,0.158,0.9000821337287809,0.9000850975758745
Abilene,0004,0.07,0.19,0.096,0.225,0.9000447088798869,0.9000295380015433
Abvt,0000,0.181,0.443,0.222,0.52,0.9000311666666666,0.8999976666666666
Abvt,0001,0.178,0.277,0.219,0.35400000000000004,0.89997925,0.9000135
Abvt,0002,0.138,0.306,0.17900000000000002,0.383,0.8999825,0.9000153333333334
Abvt,0003,0.194,0.325,0.23500000000000001,0.402,0.9000465,0.9000419999999999
Abvt,0004,0.144,0.36,0.185,0.437,0.8999938333333334,0.900014
Aconet,0000,0.187,0.45,0.238,0.528,0.900012679245283,0.900009283018868
Aconet,0001,0.212,0.461,0.263,0.539,0.9000149433962265,0.9000214339622642
Aconet,0002,0.206,0.391,0.257,0.46900000000000003,0.9000363773584905,0.900036679245283
Aconet,0003,0.232,0.411,0.28300000000000003,0.489,0.9000431698113207,0.900014716981132
Aconet,0004,0.232,0.343,0.28300000000000003,0.42100000000000004,0.9000126037735849,0.9000342641509433
Agis,0000,0.225,0.338,0.27,0.403,0.8997888888888889,0.8997666666666667
Agis,0001,0.391,1.044,0.436,1.109,0.8997935483870968,0.8997731182795583
Agis,0002,0.223,0.337,0.268,0.402,0.8997892473118277,0.8997322580645162
Agis,0003,0.238,0.4,0.283,0.465,0.8998129629629629,0.8997907407407407
Agis,0004,0.261,0.414,0.306,0.479,0.8997462365591398,0.8998055555555555
Ai3,0000,0.027,0.039,0.048,0.066,0.899993,0.899993
Ai3,0001,0.027,0.059,0.048,0.086,0.899994,0.899994
Ai3,0002,0.04,0.051,0.061,0.078,0.899992,0.899992
Ai3,0003,0.027,0.044,0.048,0.071,0.899993,0.899993
Ai3,0004,0.027,0.028,0.048,0.055,0.899991,0.899991
Airtel,0000,0.372,0.736,0.415,0.8079999999999999,0.9000526666666666,0.9000739999999999
Airtel,0001,0.76,6.816,0.803,6.888,0.9000716,0.9000773999999998
Airtel,0002,0.543,2.514,0.5860000000000001,2.586,0.899993,0.899993
Airtel,0003,0.701,4.079,0.744,4.151,0.9000266666666666,0.9000543333333333
Airtel,0004,0.256,0.636,0.299,0.708,0.9000661666666666,0.9000396666666667
Amres,0000,0.04,0.076,0.08299999999999999,0.11499999999999999,0.899929,0.899929
Amres,0001,0.039,0.046,0.08199999999999999,0.08499999999999999,0.899926,0.899926
Amres,0002,0.04,0.039,0.08299999999999999,0.078,0.899926,0.899926
Amres,0003,0.071,0.039,0.11399999999999999,0.078,0.899926,0.899926
Amres,0004,0.038,0.039,0.08099999999999999,0.078,0.899943,0.899943
Ans,0000,0.272,0.695,0.318,0.756,0.8997611111111111,0.8997611111111111
Ans,0001,0.876,0.719,0.922,0.78,0.8998888888888888,0.8998555555555555
Ans,0002,0.279,0.484,0.325,0.5449999999999999,0.8997333333333334,0.89975
Ans,0003,0.315,0.418,0.361,0.479,0.8997666666666666,0.8997833333333333
Ans,0004,0.314,0.619,0.36,0.6799999999999999,0.8997166666666667,0.8997333333333334
Arn,0000,0.044,0.05,0.095,0.10400000000000001,0.8964583333333334,0.8964583333333334
Arn,0001,0.041,0.058,0.092,0.112,0.89675,0.89675
Arn,0002,0.043,0.043,0.094,0.097,0.8967916666666667,0.8967916666666667
Arn,0003,0.057,0.072,0.108,0.126,0.8964583333333334,0.8964583333333334
Arn,0004,0.058,0.043,0.109,0.097,0.8967916666666667,0.8967916666666667
Arnes,0000,0.448,1.284,0.524,1.4020000000000001,0.903796125,0.90377475
Arnes,0001,0.508,1.454,0.584,1.572,0.906277375,0.906240125
Arnes,0002,0.422,1.138,0.498,1.2559999999999998,0.90316075,0.9031781249999999
Arnes,0003,0.494,1.312,0.57,1.4300000000000002,0.904185625,0.904250875
Arnes,0004,0.282,0.828,0.358,0.946,0.907235625,0.907176875
Arpanet196912,0000,0.04,0.05,0.055,0.065,0.962446,0.962446
Arpanet196912,0001,0.027,0.028,0.041999999999999996,0.043,1.132629,1.132629
Arpanet196912,0002,0.052,0.043,0.067,0.057999999999999996,0.923963,0.923963
Arpanet196912,0003,0.028,0.028,0.043,0.043,0.961027,0.961027
Arpanet196912,0004,0.028,0.042,0.043,0.057,1.208269,1.208269
Arpanet19706,0000,0.03,0.031,0.055,0.054,0.899989,0.899989
Arpanet19706,0001,0.031,0.055,0.056,0.078,0.899991,0.899991
Arpanet19706,0002,0.07,0.033,0.095,0.056,0.899989,0.899989
Arpanet19706,0003,0.032,0.034,0.057,0.057,0.899991,0.8999909999999999
Arpanet19706,0004,0.055,0.03,0.08,0.053,0.899991,0.899991
Arpanet19719,0000,0.195,0.177,0.238,0.216,0.89999925,0.899989
Arpanet19719,0001,0.174,0.216,0.21699999999999997,0.255,0.9000125,0.9000245
Arpanet19719,0002,0.11,0.143,0.153,0.182,0.9000425,0.9000115
Arpanet19719,0003,0.074,0.169,0.11699999999999999,0.20800000000000002,0.900049,0.899979
Arpanet19719,0004,0.112,0.131,0.155,0.17,0.9000665,0.900044
Arpanet19723,0000,0.107,0.181,0.156,0.22799999999999998,0.900037,0.8999965
Arpanet19723,0001,0.104,0.133,0.153,0.18,0.90003625,0.89996375
Arpanet19723,0002,0.124,0.164,0.173,0.21100000000000002,0.89998125,0.900035
Arpanet19723,0003,0.103,0.214,0.152,0.261,0.9000025,0.9000145
Arpanet19723,0004,0.142,0.175,0.191,0.22199999999999998,0.90004,0.9000015
Arpanet19728,0000,0.243,0.27,0.301,0.331,0.90001125,0.9000575
Arpanet19728,0001,0.329,0.226,0.387,0.28700000000000003,0.9000357499999999,0.9000055
Arpanet19728,0002,0.205,0.266,0.263,0.327,0.90004175,0.9000149999999999
Arpanet19728,0003,0.277,0.343,0.335,0.404,0.9085125,0.90848075
Arpanet19728,0004,0.154,0.162,0.212,0.223,0.89999575,0.90001625
AsnetAm,0000,0.799,2.537,0.9620000000000001,2.815,0.899725,0.899725
AsnetAm,0001,0.799,2.637,0.9620000000000001,2.915,0.899732,0.899732
AsnetAm,0002,0.792,2.096,0.9550000000000001,2.374,0.95873725,0.9586205
AsnetAm,0003,0.925,2.409,1.088,2.687,0.899718,0.899718
AsnetAm,0004,0.997,2.32,1.16,2.598,1.12260125,1.12132875
Atmnet,0000,0.064,0.099,0.101,0.133,0.8998870967741934,0.8998419354838709
Atmnet,0001,0.075,0.079,0.11199999999999999,0.113,0.8999161290322581,0.8999032258064517
Atmnet,0002,0.069,0.07,0.10600000000000001,0.10400000000000001,0.8998645161290323,0.899874193548387
Atmnet,0003,0.078,0.157,0.11499999999999999,0.191,0.8998709677419354,0.8998935483870968
Atmnet,0004,0.079,0.13,0.11599999999999999,0.164,0.8998935483870967,0.8999096774193548
AttMpls,0000,84.853,1257.055,84.92699999999999,1257.519,0.9000778333333334,0.9000695833333334
AttMpls,0001,794.711,807.22,794.785,807.6840000000001,0.90008925,0.9000786666666666
AttMpls,0002,4.555,19.846,4.629,20.31,0.9000739999999999,0.9000624833333333
AttMpls,0003,4.412,45.028,4.486,45.492,0.900055,0.90007425
AttMpls,0004,3.395,6.941,3.469,7.405,0.9000585,0.9000245
Azrena,0000,0.039,0.057,0.08,0.093,0.89996,0.89996
Azrena,0001,0.037,0.056,0.078,0.092,0.899949,0.899949
Azrena,0002,0.041,0.075,0.082,0.11099999999999999,0.899956,0.899956
Azrena,0003,0.037,0.069,0.078,0.10500000000000001,0.899946,0.899946
Azrena,0004,0.036,0.075,0.077,0.11099999999999999,0.899962,0.899962
Bandcon,0000,0.17,0.372,0.21000000000000002,0.44,0.90006325,0.8999794999999999
Bandcon,0001,0.184,0.359,0.224,0.427,0.9000076666666667,0.900032
