Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Aarnet,0000,0.515,0.413,0.591,0.493,0.8999912,0.8999912
Aarnet,0001,0.126,0.413,0.202,0.493,0.8999904,0.8999904
Aarnet,0002,0.183,0.762,0.259,0.842,0.9000469375,0.900026975
Aarnet,0003,0.121,0.413,0.197,0.493,0.8999903999999999,0.8999904
Aarnet,0004,0.177,0.521,0.253,0.601,0.90000055,0.90008475
Abilene,0000,0.208,0.161,0.242,0.189,0.900060532809285,0.9000187877764918
Abilene,0001,0.055,0.13,0.089,0.158,0.9000721872588735,0.9000255192258231
Abilene,0002,0.118,0.095,0.152,0.123,0.9000890912342463,0.9000468438544882
Abilene,0003,0.058,0.08,0.092,0.108,0.9000685703607253,0.9000060281635802
Abilene,0004,0.104,0.128,0.138,0.156,0.9000096701790766,0.9000328032568159
Abvt,0000,0.208,0.797,0.273,0.892,0.8999791666666668,0.9000010833333334
Abvt,0001,0.207,0.531,0.272,0.626,0.8999745,0.9000256666666667
Abvt,0002,0.207,0.775,0.272,0.87,0.8999983333333333,0.9000096666666665
Abvt,0003,0.167,0.545,0.232,0.64,0.9000508333333332,0.9000326666666666
Abvt,0004,0.176,0.553,0.241,0.648,0.9000141666666667,0.8999986666666666
Aconet,0000,0.195,0.542,0.258,0.633,0.9000203018867925,0.900009283018868
Aconet,0001,0.206,0.566,0.269,0.6569999999999999,0.8999966037735849,0.900012
Aconet,0002,0.288,0.502,0.351,0.593,0.9000177358490566,0.9000375094339623
Aconet,0003,0.207,0.537,0.27,0.628,0.9000524528301886,0.9000143396226415
Aconet,0004,0.155,0.484,0.218,0.575,0.9000283018867925,0.9000283773584906
Agis,0000,0.287,0.639,0.345,0.74,0.8998111111111111,0.8997516129032258
Agis,0001,0.475,0.793,0.533,0.894,0.899815053763441,0.8997925925925907
Agis,0002,0.23,0.718,0.28800000000000003,0.819,0.8997388888888889,0.8997290322580646
Agis,0003,0.249,0.661,0.307,0.762,0.8997827956989245,0.8997555555555554
Agis,0004,0.253,0.694,0.311,0.7949999999999999,0.8997962962962962,0.8998053763440859
Ai3,0000,0.027,0.029,0.056,0.056,0.899993,0.899993
Ai3,0001,0.026,0.027,0.055,0.054,0.899994,0.899994
Ai3,0002,0.028,0.027,0.057,0.054,0.899992,0.899992
Ai3,0003,0.027,0.028,0.056,0.055,0.899993,0.899993
Ai3,0004,0.028,0.027,0.057,0.054,0.899991,0.899991
Airtel,0000,0.21,1.004,0.253,1.074,0.900049,0.9000426666666667
Airtel,0001,0.88,1.649,0.923,1.719,0.900033,0.9000835
Airtel,0002,1.462,3.715,1.505,3.7849999999999997,0.899993,0.8999929999999999
Airtel,0003,0.99,4.095,1.033,4.165,0.900077,0.9000388333333332
Airtel,0004,0.257,0.599,0.3,0.669,0.900052,0.9000421666666666
Amres,0000,0.039,0.041,0.09,0.092,0.899929,0.899929
Amres,0001,0.039,0.04,0.09,0.091,0.899926,0.899926
Amres,0002,0.039,0.04,0.09,0.091,0.899926,0.899926
Amres,0003,0.039,0.039,0.09,0.09,0.899926,0.899926
Amres,0004,0.043,0.041,0.094,0.092,0.899943,0.899943
Ans,0000,0.518,0.921,0.556,0.998,0.8997,0.8997222222222222
Ans,0001,1.322,3.225,1.36,3.302,0.8998777777777777,0.8998888888888888
Ans,0002,0.34,0.776,0.378,0.853,0.8997888888888889,0.8997777777777778
Ans,0003,0.211,0.467,0.249,0.544,0.8997833333333334,0.8997722222222222
Ans,0004,0.414,0.965,0.45199999999999996,1.042,0.8997166666666667,0.8997277777777778
Arn,0000,0.041,0.048,0.091,0.10200000000000001,0.8964583333333334,0.8964583333333334
Arn,0001,0.041,0.044,0.091,0.098,0.89675,0.89675
Arn,0002,0.043,0.14,0.093,0.194,0.8967916666666667,0.8967916666666667
Arn,0003,0.049,0.043,0.099,0.097,0.8964583333333334,0.8964583333333334
Arn,0004,0.043,0.045,0.093,0.099,0.8967916666666667,0.8967916666666667
Arnes,0000,0.582,2.91,0.6669999999999999,3.1500000000000004,0.902588375,0.90154
Arnes,0001,0.605,2.917,0.69,3.157,0.9053184999999999,0.90375925
Arnes,0002,0.46,2.508,0.545,2.748,0.900693375,0.9005035
Arnes,0003,0.601,2.691,0.6859999999999999,2.931,0.90323625,0.90124825
Arnes,0004,0.344,1.67,0.429,1.91,0.904487875,0.902456875
Arpanet196912,0000,0.029,0.031,0.043000000000000003,0.049,0.962446,0.962446
Arpanet196912,0001,0.028,0.03,0.042,0.048,1.132629,1.132629
Arpanet196912,0002,0.029,0.03,0.043000000000000003,0.048,0.923963,0.923963
Arpanet196912,0003,0.03,0.029,0.044,0.047,0.961027,0.961027
Arpanet196912,0004,0.029,0.03,0.043000000000000003,0.048,1.208269,1.208269
Arpanet19706,0000,0.029,0.029,0.048,0.048,0.899989,0.899989
Arpanet19706,0001,0.029,0.03,0.048,0.049,0.8999909999999999,0.899991
Arpanet19706,0002,0.033,0.035,0.052000000000000005,0.054000000000000006,0.8999889999999999,0.8999889999999999
Arpanet19706,0003,0.03,0.035,0.049,0.054000000000000006,0.899991,0.899991
Arpanet19706,0004,0.032,0.031,0.051000000000000004,0.05,0.899991,0.899991
Arpanet19719,0000,0.106,0.136,0.138,0.189,0.8999919999999999,0.90000575
Arpanet19719,0001,0.109,0.196,0.14100000000000001,0.249,0.8999985,0.9000215
Arpanet19719,0002,0.133,0.252,0.165,0.305,0.90003125,0.9000085
Arpanet19719,0003,0.093,0.223,0.125,0.276,0.900012,0.899992
Arpanet19719,0004,0.092,0.147,0.124,0.19999999999999998,0.9000135,0.9000215
Arpanet19723,0000,0.187,0.285,0.23399999999999999,0.358,0.8999865,0.8999665
Arpanet19723,0001,0.179,0.27,0.22599999999999998,0.343,0.89997175,0.89998925
Arpanet19723,0002,0.131,0.265,0.178,0.338,0.90001675,0.9000035
Arpanet19723,0003,0.146,0.278,0.193,0.35100000000000003,0.90004125,0.90003575
Arpanet19723,0004,0.177,0.333,0.22399999999999998,0.406,0.89998975,0.8999765
Arpanet19728,0000,0.329,0.683,0.396,0.776,0.89998675,0.9000545
Arpanet19728,0001,0.674,0.732,0.7410000000000001,0.825,0.900016,0.8999855
Arpanet19728,0002,0.729,0.993,0.796,1.086,0.90000475,0.90003175
Arpanet19728,0003,0.708,1.128,0.7749999999999999,1.2209999999999999,0.90002025,0.9000365
Arpanet19728,0004,0.349,0.885,0.416,0.978,0.899998,0.90003275
AsnetAm,0000,1.047,6.247,1.271,6.77,0.899725,0.899725
AsnetAm,0001,1.046,5.503,1.27,6.026,0.899732,0.899732
AsnetAm,0002,0.947,4.499,1.171,5.021999999999999,0.899717,0.899717
AsnetAm,0003,1.141,6.068,1.365,6.590999999999999,0.899718,0.899718
AsnetAm,0004,1.939,6.022,2.1630000000000003,6.545,0.950332,0.928304
Atmnet,0000,0.098,0.126,0.14300000000000002,0.176,0.8998451612903225,0.8998838709677419
Atmnet,0001,0.126,0.164,0.17099999999999999,0.21400000000000002,0.8999032258064517,0.8999129032258064
Atmnet,0002,0.127,0.182,0.172,0.23199999999999998,0.8998774193548387,0.8998870967741888
Atmnet,0003,0.12,0.125,0.16499999999999998,0.175,0.8998967741935484,0.8998548387096774
Atmnet,0004,0.105,0.171,0.15,0.22100000000000003,0.8998935483870968,0.8998322580645157
AttMpls,0000,36.904,142.628,36.979000000000006,143.22199999999998,0.9000758333333333,0.90007475
AttMpls,0001,1804.076,723.025,1804.151,723.619,0.900117125,0.9000786666666667
AttMpls,0002,2.331,42.667,2.406,43.261,0.900023883333333,0.9000594333333333
