Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Aarnet,0,0,0.216,0.9432922,0,0.13828446,0.9432922,0,0.404,0.9432922,0,0.950936073,0.9432922
Aarnet,1,0,0.214,0.9335895,0,0.092314563,0.9335895,0,0.177,0.9335895,0,0.863201706,0.9335895
Aarnet,2,0,0.213,0.9634367,0,0.271701538,0.9634367,0,0.166,0.9634367,0,0.908234549,0.9634367
Aarnet,3,0,0.234,0.9720654,0,0.264428674,0.9720654,0,0.178,0.9720654,0,0.951728556,0.9720654
Aarnet,4,0,0.201,1.1249961,0,0.119524987,1.1249961,0,0.167,1.1249961,0,0.961730039,1.1249961
Abilene,0,0,0.302,0.9000360685,0,0.281055834,0.9000321753,0,0.121,0.9000525455,0,0.445544154,0.9000093437
Abilene,1,0,0.125,0.9000108507,0,0.275081502,0.9000570917,0,0.082,0.9000467183,0,0.475071927,0.9000670633
Abilene,2,0,0.17,0.9000662093,0,0.177418921,0.9000452615,0,0.13,0.9000396352,0,0.411470039,0.9000528469
Abilene,3,0,0.184,0.9,0,0.116414115,0.9000792704,0,0.079,0.9000174314,0,0.408235026,0.900033808
Abilene,4,0,0.199,0.9000458643,0,0.176950714,0.9000121066,0,0.155,0.900064426,0,0.415581138,0.9000313967
Abvt,0,0,0.454,0.89998375,0,0.284567401,0.9000326667,0,0.343,0.9000261667,0,1.409087634,0.90000975
Abvt,1,0,0.32,0.9000313333,0,0.368182427,0.9000128333,0,0.37,0.8999703333,0,1.51752049,0.9000545833
Abvt,2,0,0.325,0.9000019167,0,0.243252198,0.9000381667,0,0.352,0.8999981667,0,1.378200033,0.90001775
Abvt,3,0,0.328,0.8999901667,0,0.316929286,0.9000243333,0,0.323,0.9000456667,0,1.40149189,0.8999953333
Abvt,4,0,0.323,0.8999935,0,0.389928484,0.9000335,0,0.363,0.9000126667,0,1.43034834,0.9000493333
Aconet,0,0,0.364,0.9000464906,0,0.443636573,0.9000591698,0,0.327,0.9000139623,0,1.453312295,0.9000307925
Aconet,1,0,0.321,0.9000126792,0,0.322321407,0.8999971321,0,0.306,0.9000201509,0,1.527325242,0.9000005283
Aconet,2,0,0.395,0.9000716226,0,0.400673673,0.900037434,0,0.375,0.9000562264,0,1.629347874,0.9000181887
Aconet,3,0,0.335,0.9000538113,0,0.351531265,0.900073283,0,0.318,0.9000615094,0,1.57210223,0.9013927547
Aconet,4,0,0.412,0.9000307925,0,0.401547663,0.900018717,0,0.305,0.9000647547,0,1.479367498,0.900078566
Agis,0,0,0.277,0.8998129032,0,0.841856894,0.8997903226,0,0.29,0.8998,0,1.803399134,0.8997555556
Agis,1,0,0.538,0.8997666667,0,2.993776088,0.8998032258,0,0.38,0.8997741935,0,2.043570746,0.8997741935
Agis,2,0,0.275,0.8997193548,0,0.854058015,0.8997677419,0,0.36,0.8997111111,0,1.911100278,0.8997516129
Agis,3,0,0.439,0.8998193548,0,1.248161181,0.8998,0,0.632,0.8998,0,1.840301313,0.899816129
Agis,4,0,0.289,0.8997967742,0,1.723981591,0.8997935484,0,0.304,0.8997354839,0,1.710112612,0.8998064516
Ai3,0,0,0.058,0.899993,0,0.039531232,0.899993,0,0.043,0.899993,0,0.201241296,0.899993
Ai3,1,0,0.061,0.899994,0,0.039239214,0.899994,0,0.044,0.899994,0,0.197746664,0.899994
Ai3,2,0,0.059,0.899992,0,0.040893596,0.899992,0,0.045,0.899992,0,0.202334785,0.899992
Ai3,3,0,0.059,0.899993,0,0.041337298,0.899993,0,0.043,0.899993,0,0.213968606,0.899993
Ai3,4,0,0.076,0.899991,0,0.039314371,0.899991,0,0.043,0.899991,0,0.207382389,0.899991
Airtel,0,0,0.613,0.9000526667,0,0.543609517,0.9000175,0,0.382,0.9000336667,0,0.930576348,0.9000568333
Airtel,1,0,1.914,0.9000428,0,1.730567687,0.9000134,0,2.401,0.9000461,0,0.981936471,0.904268
Airtel,2,0,1.295,0.899993,0,0.566368978,0.899993,0,0.362,0.899993,0,1.014998268,1.0394822
Airtel,3,0,2.029,0.900048,0,5.596075467,0.9000373333,0,1.756,0.900037,0,1.191062544,0.9495676667
Airtel,4,0,0.333,0.9000661667,0,0.502423128,0.9000835,0,0.343,0.900068,0,0.822366921,0.9607806667
Amres,0,0,0.116,0.899929,0,0.171063926,0.899929,0,0.26,0.899929,0,1.730962637,0.899929
Amres,1,0,0.134,0.899926,0,0.166809903,0.899926,0,0.207,0.899926,0,1.444892411,0.899926
Amres,2,0,0.127,0.899926,0,0.186686936,0.899926,0,0.207,0.899926,0,1.626075303,0.899926
Amres,3,0,0.121,0.899926,0,0.169720302,0.899926,0,0.193,0.899926,0,1.608967493,0.899926
Amres,4,0,0.154,0.899943,0,0.19566707,0.899943,0,0.204,0.899943,0,1.543806825,0.899943
Ans,0,0,1.057,0.8997777778,0,0.441652226,0.8997111111,0,0.779,0.8997722222,0,0.916055982,0.89975
Ans,1,0,1.01,0.8998666667,0,6.805554146,0.8999,0,0.91,0.8999111111,0,1.898400415,0.8999111111
Ans,2,0,0.529,0.8997277778,0,1.392854901,0.8997333333,0,0.903,0.8997777778,0,1.044597018,0.9000888889
Ans,3,0,0.379,0.8997722222,0,1.206134543,0.8997222222,0,0.278,0.8997277778,0,0.947413582,0.8997472222
Ans,4,0,0.788,0.8997055556,0,1.446941205,0.8997,0,0.794,0.8997472222,0,1.707978056,0.8997
Arn,0,0,0.122,0.8964583333,0,0.225818313,0.8964583333,0,0.241,0.8964583333,0,2.552297888,0.8964583333
Arn,1,0,0.136,0.89675,0,0.226971763,0.89675,0,0.259,0.89675,0,2.85745776,0.89675
Arn,2,0,0.156,0.8967916667,0,0.229074801,0.8967916667,0,0.265,0.8967916667,0,2.669991544,0.8967916667
Arn,3,0,0.127,0.8964583333,0,0.223463727,0.8964583333,0,0.245,0.8964583333,0,2.197329648,0.8964583333
Arn,4,0,0.125,0.8967916667,0,0.213929137,0.8967916667,0,0.256,0.8967916667,0,2.666730792,0.8967916667
Arnes,0,0,0.699,0.90257175,0,1.425016003,0.9025455,0,0.778,0.902592,0,7.664051642,0.902606125
