Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Aarnet,0000,0,0.39,0.9432921999999999,0,1.995,0.9432921999999999,0,0.881294634,0.9432922
Aarnet,0001,0,0.377,0.9335895,0,1.933,0.9335895,0,0.909363556,0.9335895
Aarnet,0002,0,0.376,0.9634367,0,1.919,0.9634366999999999,0,1.027882216,0.9634367
Aarnet,0003,0,0.362,0.9720654,0,2.027,0.9720654,0,1.00698216,0.9720654
Aarnet,0004,0,0.452,1.1249961,0,2.163,1.1249961,0,0.889182726,1.1249961
Abilene,0000,0,0.522,0.9000417450327932,0,0.278,0.900022203735854,0,0.461128586,0.9000709313914609
Abilene,0001,0,0.19,0.9000588499469522,0,0.296,0.9000255694605196,0,0.533216799,0.9000670633198302
Abilene,0002,0,0.223,0.9000195412969393,0,0.541,0.9000810034481096,0,0.395252705,0.9000047220614712
Abilene,0003,0,0.251,0.9000753018100566,0,0.339,0.9000892168209876,0,0.428718869,0.9000157736947016
Abilene,0004,0,0.7130000000000001,0.9000334311905221,0,0.387,0.9000639738859953,0,0.494968382,0.9000513900945216
Abvt,0000,0,3.4560000000000004,0.9000279166666666,0,6.111,0.9000070833333332,0,1.385710835,0.90000975
Abvt,0001,0,2.5330000000000004,0.8999877499999999,0,6.142,0.9000131666666668,0,1.57414434,0.9000545833333332
Abvt,0002,0,2.237,0.9000347499999997,0,5.475,0.9000234166666665,0,1.322902528,0.90001775
Abvt,0003,0,2.142,0.8999695,0,5.674,0.8999695,0,1.604331422,0.8999953333333334
Abvt,0004,0,2.452,0.9000284999999999,0,5.906,0.9000411666666667,0,1.342647475,0.9000493333333334
Aconet,0000,0,2.544,0.8999990943396227,0,4.438,0.9000828679245283,0,1.955510344,0.9000307924528302
Aconet,0001,0,2.13,0.9000368301886793,0,4.113,0.8999964528301887,0,1.451711705,0.9000005283018868
Aconet,0002,0,2.763,0.9000498113207547,0,4.794,0.9000343396226415,0,1.741549101,0.9000181886792453
Aconet,0003,0,2.375,0.9000401509433962,0,4.866,0.9000067169811321,0,1.652127968,0.9013927547169811
Aconet,0004,0,2.043,0.9000651320754717,0,4.329,0.9000636981132075,0,1.499429781,0.9000785660377358
Agis,0000,0,1.14,0.8998064516129032,0,5.652,0.8998225806451613,0,1.816316938,0.8998129032258064
Agis,0001,0,1.7489999999999999,0.8997612903225807,0,5.562,0.8997774193548387,0,2.027224699,0.8998222222222222
Agis,0002,0,1.2469999999999999,0.8997774193548387,0,4.991,0.8997806451612903,0,1.860664718,0.8997645161290323
Agis,0003,0,1.062,0.8998,0,5.046,0.8997777777777778,0,1.779170732,0.899816129032258
Agis,0004,0,0.946,0.8997903225806452,0,4.904,0.8998129032258064,0,1.895766612,0.8997333333333334
Ai3,0000,0,0.056999999999999995,0.899993,0,0.109,0.899993,0,0.197263513,0.899993
Ai3,0001,0,0.065,0.899994,0,0.116,0.899994,0,0.190112959,0.899994
