Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Aarnet,0000,0.002,0.143,0.145,0.9432922
Aarnet,0001,0.002,0.127,0.129,0.9335895
Aarnet,0002,0.002,0.149,0.151,0.9634367
Aarnet,0003,0.002,0.123,0.125,0.9720654
Aarnet,0004,0.002,0.127,0.129,1.1249961
Abilene,0000,0.0,0.262,0.262,0.900071735146605
Abilene,0001,0.0,0.282,0.282,0.9000034159593622
Abilene,0002,0.001,0.103,0.104,0.9000605830439815
Abilene,0003,0.001,0.087,0.088,0.9000595783500515
Abilene,0004,0.001,0.189,0.19,0.9000469192065329
Abvt,0000,0.003,0.274,0.277,0.899989
Abvt,0001,0.002,0.358,0.36,0.900054
Abvt,0002,0.004,0.279,0.283,0.900014
Abvt,0003,0.003,0.203,0.206,0.900034
Abvt,0004,0.003,0.348,0.351,0.900046
Aconet,0000,0.004,0.156,0.16,0.9000244528301887
Aconet,0001,0.002,0.167,0.169,0.9000111698113208
Aconet,0002,0.003,0.213,0.216,0.9000528301886792
Aconet,0003,0.004,0.203,0.207,0.8999965283018868
Aconet,0004,0.003,0.201,0.204,0.9000202264150944
Agis,0000,0.003,0.285,0.288,0.8998064516129032
Agis,0001,0.003,0.478,0.481,0.8997555555555555
Agis,0002,0.004,0.282,0.286,0.8998
Agis,0003,0.003,0.286,0.289,0.8998
Agis,0004,0.003,0.23,0.233,0.8997483870967742
Ai3,0000,0.0,0.048,0.048,0.899993
Ai3,0001,0.0,0.035,0.035,0.899994
Ai3,0002,0.001,0.034,0.035,0.899992
Ai3,0003,0.0,0.034,0.034,0.899993
Ai3,0004,0.001,0.034,0.035,0.899991
Airtel,0000,0.002,0.234,0.236,1.375849
Airtel,0001,0.001,0.182,0.183,1.33642
Airtel,0002,0.001,0.164,0.165,2.139298
Airtel,0003,0.001,0.241,0.242,1.438076
Airtel,0004,0.001,0.483,0.484,1.383461
Amres,0000,0.004,0.204,0.208,0.899929
Amres,0001,0.004,0.174,0.178,0.899926
Amres,0002,0.003,0.171,0.174,0.899926
Amres,0003,0.004,0.17,0.174,0.899926
Amres,0004,0.004,0.167,0.171,0.899943
Ans,0000,0.002,0.299,0.301,0.8997555555555554
Ans,0001,0.002,0.45,0.452,0.8999111111111111
Ans,0002,0.001,0.178,0.179,0.8997333333333333
Ans,0003,0.002,0.486,0.488,0.8997333333333334
Ans,0004,0.002,0.284,0.286,0.8997111111111111
Arn,0000,0.006,0.196,0.202,0.8964583333333334
Arn,0001,0.005,0.209,0.214,0.89675
Arn,0002,0.005,0.213,0.218,0.8967916666666667
Arn,0003,0.005,0.204,0.209,0.8964583333333334
