Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Aarnet,0000,0.018,0.609,0.627,0.9432922
Aarnet,0001,0.016,0.223,0.239,0.9335895
Aarnet,0002,0.015,0.267,0.282,0.9634367
Aarnet,0003,0.015,0.249,0.264,0.9720654
Aarnet,0004,0.016,0.245,0.261,1.1249961
Abilene,0000,0.001,0.176,0.177,0.900025016878858
Abilene,0001,0.001,0.127,0.128,0.900048024369856
Abilene,0002,0.001,0.094,0.095,0.9000618891460905
Abilene,0003,0.001,0.083,0.084,0.9000595783500513
Abilene,0004,0.001,0.193,0.194,0.9000080375514403
Abvt,0000,0.017,0.368,0.385,0.899978
Abvt,0001,0.016,0.355,0.371,0.899995
Abvt,0002,0.018,0.361,0.379,0.899984
Abvt,0003,0.019,0.317,0.336,0.900034
Abvt,0004,0.019,0.363,0.382,0.899975
Aconet,0000,0.019,0.264,0.283,0.9000244528301887
Aconet,0001,0.017,0.297,0.314,0.9000258113207548
Aconet,0002,0.019,0.297,0.316,0.9000457358490567
Aconet,0003,0.019,0.294,0.313,0.9000579622641509
Aconet,0004,0.019,0.276,0.295,0.9000202264150944
Agis,0000,0.016,0.362,0.378,0.8998222222222222
Agis,0001,0.016,0.598,0.614,0.8998222222222222
Agis,0002,0.016,0.349,0.365,0.8997677419354839
Agis,0003,0.018,0.505,0.523,0.8997741935483871
Agis,0004,0.016,0.405,0.421,0.8997483870967742
Ai3,0000,0.001,0.049,0.05,0.899993
Ai3,0001,0.001,0.049,0.05,0.899994
Ai3,0002,0.001,0.058,0.059,0.899992
Ai3,0003,0.001,0.049,0.05,0.899993
Ai3,0004,0.001,0.049,0.05,0.899991
Airtel,0000,0.002,0.241,0.243,1.3758489999999997
Airtel,0001,0.001,0.202,0.203,1.3364199999999995
Airtel,0002,0.001,0.208,0.209,2.139298
Airtel,0003,0.001,0.323,0.324,1.4380760000000001
Airtel,0004,0.002,0.649,0.651,1.383492
Amres,0000,0.016,0.333,0.349,0.899929
Amres,0001,0.017,0.322,0.339,0.899926
Amres,0002,0.015,0.338,0.353,0.899926
Amres,0003,0.016,0.334,0.35,0.899926
Amres,0004,0.016,0.334,0.35,0.899943
Ans,0000,0.015,0.439,0.454,0.8997777777777778
Ans,0001,0.016,1.351,1.367,0.8999111111111111
Ans,0002,0.016,0.512,0.528,0.8997999999999995
Ans,0003,0.016,0.342,0.358,0.8997777777777778
Ans,0004,0.016,0.84,0.856,0.8996888888888889
Arn,0000,0.017,0.367,0.384,0.8964583333333334
Arn,0001,0.011,0.362,0.373,0.89675
Arn,0002,0.017,0.409,0.426,0.8967916666666667
Arn,0003,0.013,0.356,0.369,0.8964583333333334
Arn,0004,0.017,0.354,0.371,0.8967916666666667
Arnes,0000,0.006,0.732,0.738,0.90255725
Arnes,0001,0.02,0.733,0.753,0.905318
Arnes,0002,0.007,0.833,0.84,0.900713
Arnes,0003,0.006,0.899,0.905,0.90325225
Arnes,0004,0.026,0.639,0.665,0.904506
Arpanet196912,0000,0.0,0.029,0.029,0.962446
Arpanet196912,0001,0.0,0.028,0.028,1.132629
Arpanet196912,0002,0.0,0.029,0.029,0.923963
Arpanet196912,0003,0.0,0.029,0.029,0.961027
Arpanet196912,0004,0.0,0.029,0.029,1.208269
Arpanet19706,0000,0.001,0.046,0.047,0.899989
Arpanet19706,0001,0.001,0.054,0.055,0.899991
Arpanet19706,0002,0.001,0.047,0.048,0.899989
Arpanet19706,0003,0.001,0.048,0.049,0.8999909999999999
Arpanet19706,0004,0.001,0.046,0.047,0.899991
Arpanet19719,0000,0.016,0.195,0.211,0.8999849999999999
Arpanet19719,0001,0.016,0.222,0.238,0.90006
Arpanet19719,0002,0.016,0.236,0.252,0.900022
Arpanet19719,0003,0.015,0.251,0.266,0.90004
Arpanet19719,0004,0.016,0.197,0.213,0.900014
Arpanet19723,0000,0.019,0.395,0.414,0.899968
Arpanet19723,0001,0.018,0.496,0.514,0.900007
Arpanet19723,0002,0.018,0.381,0.399,0.900024
Arpanet19723,0003,0.018,0.409,0.427,0.900039
Arpanet19723,0004,0.016,0.475,0.491,0.900011
Arpanet19728,0000,0.023,0.662,0.685,0.900052
Arpanet19728,0001,0.013,0.627,0.64,0.900042
Arpanet19728,0002,0.009,0.894,0.903,0.90004
Arpanet19728,0003,0.009,0.925,0.934,0.9000379999999999
Arpanet19728,0004,0.009,0.564,0.573,0.900044
AsnetAm,0000,0.028,3.354,3.382,0.899725
AsnetAm,0001,0.042,3.389,3.431,0.899732
AsnetAm,0002,0.037,3.28,3.317,0.899717
AsnetAm,0003,0.047,3.338,3.385,0.899718
AsnetAm,0004,0.035,3.366,3.401,1.1590339999999997
Atmnet,0000,0.016,0.288,0.304,0.8998774193548387
Atmnet,0001,0.016,0.326,0.342,0.8998774193548388
Atmnet,0002,0.016,0.305,0.321,0.8999096774193549
Atmnet,0003,0.016,0.257,0.273,0.8998451612903225
Atmnet,0004,0.016,0.32,0.336,0.8998709677419355
AttMpls,0000,0.005,1077.519,1077.524,0.900082
AttMpls,0001,0.007,17.989,17.996,0.900152
AttMpls,0002,0.006,2.05,2.056,0.900065
AttMpls,0003,0.005,14.111,14.116,0.900066
AttMpls,0004,0.005,8.944,8.949,0.900074
Azrena,0000,0.018,0.223,0.241,0.89996
Azrena,0001,0.018,0.25,0.268,0.899949
Azrena,0002,0.018,0.247,0.265,0.899956
Azrena,0003,0.018,0.24,0.258,0.899946
Azrena,0004,0.018,0.252,0.27,0.899962
Bandcon,0000,0.016,0.314,0.33,0.899989
Bandcon,0001,0.015,0.253,0.268,0.900019
Bandcon,0002,0.016,0.296,0.312,0.900007
Bandcon,0003,0.016,0.3,0.316,1.05745
Bandcon,0004,0.016,0.302,0.318,0.9000089999999998
Basnet,0000,0.001,0.036,0.037,0.8997419354838709
Basnet,0001,0.0,0.037,0.037,0.8996129032258064
Basnet,0002,0.001,0.045,0.046,0.8996129032258064
Basnet,0003,0.001,0.036,0.037,0.8996129032258064
Basnet,0004,0.001,0.036,0.037,0.8997419354838709
Bbnplanet,0000,0.016,0.363,0.379,0.8990666666666667
Bbnplanet,0001,0.016,0.409,0.425,0.8991555555555556
Bbnplanet,0002,0.019,0.395,0.414,0.899
Bbnplanet,0003,0.017,0.395,0.412,0.8989555555555555
Bbnplanet,0004,0.015,0.403,0.418,0.8990444444444444
Bellcanada,0000,0.033,2.378,2.411,0.899931
Bellcanada,0001,0.029,2.337,2.366,0.899909
Bellcanada,0002,0.021,2.813,2.834,0.899927
Bellcanada,0003,0.026,2.384,2.41,0.899915
Bellcanada,0004,0.03,2.497,2.527,0.899907
Bellsouth,0000,0.029,1.62,1.649,0.899881
Bellsouth,0001,0.034,1.807,1.841,0.899906
Bellsouth,0002,0.024,1.512,1.536,0.899886
Bellsouth,0003,0.026,1.61,1.636,0.8998809999999999
Bellsouth,0004,0.025,1.611,1.636,0.899905
