Topology,DemandFile,ExitCode,TotalTime,pre-uMax,post-uMax
Aarnet,0000,0,0.881294634,1.226691525,0.9432922
Aarnet,0001,0,0.909363556,0.9335895,0.9335895
Aarnet,0002,0,1.027882216,1.25085615,0.9634367
Aarnet,0003,0,1.00698216,1.060537775,0.9720654
Aarnet,0004,0,0.889182726,1.1249961,1.1249961
Abilene,0000,0,0.461128586,1.2770134819878471,0.9000709313914609
Abilene,0001,0,0.533216799,1.3379562817483281,0.9000670633198302
Abilene,0002,0,0.395252705,1.1369629408596964,0.9000047220614712
Abilene,0003,0,0.428718869,1.104416333108282,0.9000157736947016
Abilene,0004,0,0.494968382,1.2470709655510546,0.9000513900945216
Abvt,0000,0,1.385710835,0.9851180833333334,0.90000975
Abvt,0001,0,1.57414434,1.0218915833333333,0.9000545833333332
Abvt,0002,0,1.322902528,1.25897425,0.90001775
Abvt,0003,0,1.604331422,1.0832241666666664,0.8999953333333334
Abvt,0004,0,1.342647475,1.1959341666666665,0.9000493333333334
Aconet,0000,0,1.955510344,1.092930113207547,0.9000307924528302
Aconet,0001,0,1.451711705,0.9427636981132076,0.9000005283018868
Aconet,0002,0,1.741549101,1.1188276981132075,0.9000181886792453
Aconet,0003,0,1.652127968,1.013566641509434,0.9013927547169811
Aconet,0004,0,1.499429781,1.0244360754716981,0.9000785660377358
Agis,0000,0,1.816316938,1.3252451612903227,0.8998129032258064
Agis,0001,0,2.027224699,1.372232258064516,0.8998222222222222
Agis,0002,0,1.860664718,1.2767322580645162,0.8997645161290323
Agis,0003,0,1.779170732,1.2994354838709676,0.899816129032258
Agis,0004,0,1.895766612,1.3048483870967742,0.8997333333333334
Ai3,0000,0,0.197263513,0.899993,0.899993
Ai3,0001,0,0.190112959,0.899994,0.899994
Ai3,0002,0,0.198663332,0.899992,0.899992
Ai3,0003,0,0.206539432,0.899993,0.899993
Ai3,0004,0,0.197472415,0.899991,0.899991
Airtel,0000,0,1.192873795,1.6175426666666666,0.9001043333333334
Airtel,0001,0,0.879257356,1.1332566000000002,0.9042680000000001
Airtel,0002,0,1.00208044,1.796209571428571,1.0155786
Airtel,0003,0,1.397200178,2.277398285714286,0.97414625
Airtel,0004,0,0.895983851,1.3525703333333334,0.9607806666666666
Amres,0000,0,1.629066984,0.899929,0.899929
Amres,0001,0,1.550338655,0.899926,0.899926
Amres,0002,0,1.574210772,0.899926,0.899926
Amres,0003,0,1.500767413,0.899926,0.899926
Amres,0004,0,1.427633886,0.899943,0.899943
Ans,0000,0,1.219137019,1.2010194444444444,0.8997444444444445
Ans,0001,0,1.517736009,1.366475,0.8998666666666667
Ans,0002,0,1.015388353,1.1603055555555555,0.9000888888888889
Ans,0003,0,0.801061781,1.1101583333333334,0.8997722222222222
Ans,0004,0,2.002349601,1.4288194444444444,0.8997083333333333
Arn,0000,0,2.757321276,0.8964583333333334,0.8964583333333334
Arn,0001,0,2.613627079,0.89675,0.89675
Arn,0002,0,2.386664932,0.8967916666666667,0.8967916666666667
Arn,0003,0,2.283920456,0.8964583333333334,0.8964583333333334
Arn,0004,0,2.877028784,0.8967916666666667,0.8967916666666667
Arnes,0000,0,7.862428278,1.540467375,0.90004775
Arnes,0001,0,8.684948517,1.3326455,0.900071
Arnes,0002,0,7.425557247,1.297558375,0.900061125
Arnes,0003,0,7.556646067,1.512011875,0.900059
Arnes,0004,0,6.683117051,1.083160375,0.900075125
Arpanet196912,0000,0,0.146469061,0.962446,0.962446
Arpanet196912,0001,0,0.152229571,1.2433,1.132629
Arpanet196912,0002,0,0.171263884,0.956687,0.923963
Arpanet196912,0003,0,0.154333604,1.052865,0.961027
Arpanet196912,0004,0,0.149340947,1.470942,1.208269
Arpanet19706,0000,0,0.202930818,0.899989,0.899989
Arpanet19706,0001,0,0.201982225,0.899991,0.899991
Arpanet19706,0002,0,0.18555819,0.931959,0.899989
Arpanet19706,0003,0,0.190905047,0.899991,0.899991
Arpanet19706,0004,0,0.189661108,0.899991,0.899991
Arpanet19719,0000,0,0.745034607,0.95448175,0.9000245
Arpanet19719,0001,0,0.814660852,1.2369775,0.9000275
Arpanet19719,0002,0,0.743659162,1.0865745,0.9000345
Arpanet19719,0003,0,0.842791437,0.937374,0.90003
Arpanet19719,0004,0,0.98794172,0.988302,0.899994
Arpanet19723,0000,0,2.038547987,0.998438,0.899961
Arpanet19723,0001,0,1.878255316,1.05999325,0.89999875
Arpanet19723,0002,0,1.937584014,0.92398775,0.90005475
Arpanet19723,0003,0,1.787810323,0.9255245,0.9000255
Arpanet19723,0004,0,2.005387937,1.0445805,0.899987
Arpanet19728,0000,0,3.82564962,1.160817,0.90005625
Arpanet19728,0001,0,3.496773559,1.18464275,0.90061
Arpanet19728,0002,0,3.239171026,1.1961195,0.90094425
Arpanet19728,0003,0,4.397453261,1.118897,0.90004525
Arpanet19728,0004,0,3.56449383,1.23155525,0.90004525
AsnetAm,0000,0,142.959170189,1.137118625,0.899725
