Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Aarnet,0000,0.004,0.145,0.149,0.9432922
Aarnet,0001,0.001,0.118,0.119,0.9335895
Aarnet,0002,0.002,0.137,0.139,0.9634367
Aarnet,0003,0.002,0.121,0.123,0.9720654
Aarnet,0004,0.001,0.118,0.119,1.1249961
Abilene,0000,0.001,0.181,0.182,0.900071735146605
Abilene,0001,0.0,0.237,0.237,0.9000034159593622
Abilene,0002,0.001,0.081,0.082,0.9000605830439815
Abilene,0003,0.0,0.069,0.069,0.9000595783500515
Abilene,0004,0.001,0.137,0.138,0.9000469192065329
Abvt,0000,0.003,0.241,0.244,0.899989
Abvt,0001,0.003,0.222,0.225,0.900054
Abvt,0002,0.003,0.223,0.226,0.900014
Abvt,0003,0.005,0.211,0.216,0.900034
Abvt,0004,0.002,0.266,0.268,0.900046
Aconet,0000,0.003,0.15,0.153,0.9000244528301887
Aconet,0001,0.002,0.166,0.168,0.9000111698113208
Aconet,0002,0.002,0.186,0.188,0.9000528301886792
Aconet,0003,0.003,0.167,0.17,0.8999965283018868
Aconet,0004,0.003,0.159,0.162,0.9000202264150944
Agis,0000,0.003,0.258,0.261,0.8998064516129032
Agis,0001,0.003,0.425,0.428,0.8997555555555555
Agis,0002,0.003,0.236,0.239,0.8998
Agis,0003,0.003,0.248,0.251,0.8998
Agis,0004,0.003,0.216,0.219,0.8997483870967742
Ai3,0000,0.0,0.035,0.035,0.899993
Ai3,0001,0.0,0.035,0.035,0.899994
Ai3,0002,0.0,0.035,0.035,0.899992
Ai3,0003,0.001,0.048,0.049,0.899993
Ai3,0004,0.001,0.034,0.035,0.899991
Airtel,0000,0.001,0.162,0.163,1.375849
Airtel,0001,0.001,0.136,0.137,1.33642
Airtel,0002,0.001,0.133,0.134,2.139298
Airtel,0003,0.001,0.166,0.167,1.438076
Airtel,0004,0.002,0.429,0.431,1.383461
Amres,0000,0.003,0.165,0.168,0.899929
Amres,0001,0.003,0.16,0.163,0.899926
Amres,0002,0.003,0.155,0.158,0.899926
Amres,0003,0.003,0.157,0.16,0.899926
Amres,0004,0.003,0.174,0.177,0.899943
Ans,0000,0.001,0.244,0.245,0.8997555555555554
Ans,0001,0.001,0.407,0.408,0.8999111111111111
Ans,0002,0.001,0.17,0.171,0.8997333333333333
Ans,0003,0.002,0.416,0.418,0.8997333333333334
Ans,0004,0.002,0.24,0.242,0.8997111111111111
Arn,0000,0.004,0.197,0.201,0.8964583333333334
