Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
Aarnet,0000,0,0.13828446,1.226691525,0.9432922
Aarnet,0001,0,0.092314563,0.9335895,0.9335895
Aarnet,0002,0,0.271701538,1.25085615,0.9634367
Aarnet,0003,0,0.264428674,1.060537775,0.9720654
Aarnet,0004,0,0.119524987,1.1249961,1.1249961
Abilene,0000,0,0.281055834,1.2770134819878471,0.9000321753231095
Abilene,0001,0,0.275081502,1.3379562817483281,0.9000570917325746
Abilene,0002,0,0.177418921,1.1369629408596964,0.9000452614615484
Abilene,0003,0,0.116414115,1.104416333108282,0.9000792703510803
Abilene,0004,0,0.176950714,1.2470709655510546,0.900012106561857
Abvt,0000,0,0.284567401,0.9851180833333334,0.9000326666666666
Abvt,0001,0,0.368182427,1.0218915833333333,0.9000128333333334
Abvt,0002,0,0.243252198,1.25897425,0.9000381666666666
Abvt,0003,0,0.316929286,1.0832241666666664,0.9000243333333334
Abvt,0004,0,0.389928484,1.1959341666666665,0.9000335
Aconet,0000,0,0.443636573,1.092930113207547,0.9000591698113207
Aconet,0001,0,0.322321407,0.9427636981132076,0.8999971320754717
Aconet,0002,0,0.400673673,1.1188276981132075,0.9000374339622641
Aconet,0003,0,0.351531265,1.013566641509434,0.9000732830188679
Aconet,0004,0,0.401547663,1.0244360754716981,0.9000187169811321
Agis,0000,0,0.841856894,1.3252451612903227,0.8997903225806452
Agis,0001,0,2.993776088,1.372232258064516,0.8998032258064517
Agis,0002,0,0.854058015,1.2767322580645162,0.8997677419354839
Agis,0003,0,1.248161181,1.2994354838709676,0.8998
Agis,0004,0,1.723981591,1.3048483870967742,0.8997935483870968
Ai3,0000,0,0.039531232,0.899993,0.899993
Ai3,0001,0,0.039239214,0.899994,0.899994
Ai3,0002,0,0.040893596,0.899992,0.899992
Ai3,0003,0,0.041337298,0.899993,0.899993
Ai3,0004,0,0.039314371,0.899991,0.899991
Airtel,0000,0,0.543609517,1.6175426666666666,0.9000175
Airtel,0001,0,1.730567687,1.1332566000000002,0.9000133999999999
Airtel,0002,0,0.566368978,1.796209571428571,0.8999930000000002
Airtel,0003,0,5.596075467,2.277398285714286,0.9000373333333334
Airtel,0004,0,0.502423128,1.3525703333333334,0.9000835000000001
Amres,0000,0,0.171063926,0.899929,0.899929
Amres,0001,0,0.166809903,0.899926,0.899926
Amres,0002,0,0.186686936,0.899926,0.899926
Amres,0003,0,0.169720302,0.899926,0.899926
Amres,0004,0,0.19566707,0.899943,0.899943
Ans,0000,0,0.441652226,1.2010194444444444,0.8997111111111111
Ans,0001,0,6.805554146,1.366475,0.8999
Ans,0002,0,1.392854901,1.1603055555555555,0.8997333333333334
Ans,0003,0,1.206134543,1.1101583333333334,0.8997222222222222
Ans,0004,0,1.446941205,1.4288194444444444,0.8997
Arn,0000,0,0.225818313,0.8964583333333334,0.8964583333333334
Arn,0001,0,0.226971763,0.89675,0.89675
Arn,0002,0,0.229074801,0.8967916666666667,0.8967916666666667
Arn,0003,0,0.223463727,0.8964583333333334,0.8964583333333334
Arn,0004,0,0.213929137,0.8967916666666667,0.8967916666666667
Arnes,0000,0,1.425016003,1.540467375,0.9025455
Arnes,0001,0,1.452961962,1.3326455,0.905294
Arnes,0002,0,1.662628435,1.297558375,0.9007095
Arnes,0003,0,1.728619346,1.512011875,0.90324975
Arnes,0004,0,1.492890575,1.083160375,0.904470125
Arpanet196912,0000,0,0.031086481,0.962446,0.962446
Arpanet196912,0001,0,0.031191196,1.2433,1.132629
Arpanet196912,0002,0,0.031795419,0.956687,0.923963
Arpanet196912,0003,0,0.031663302,1.052865,0.961027
Arpanet196912,0004,0,0.032882847,1.470942,1.208269
Arpanet19706,0000,0,0.060473823,0.899989,0.899989
Arpanet19706,0001,0,0.036441766,0.899991,0.899991
Arpanet19706,0002,0,0.045624039,0.931959,0.899989
Arpanet19706,0003,0,0.035267458,0.899991,0.899991
Arpanet19706,0004,0,0.035591591,0.899991,0.899991
Arpanet19719,0000,0,0.253354341,0.95448175,0.90000825
Arpanet19719,0001,0,0.199941421,1.2369775,0.899991
Arpanet19719,0002,0,0.318280542,1.0865745,0.9000645
Arpanet19719,0003,0,0.253137966,0.937374,0.9000075
Arpanet19719,0004,0,0.20473317,0.988302,0.900008
Arpanet19723,0000,0,0.521470903,0.998438,0.900001
Arpanet19723,0001,0,0.494305671,1.05999325,0.8999855
Arpanet19723,0002,0,0.516283085,0.92398775,0.900035
Arpanet19723,0003,0,0.526591021,0.9255245,0.900016
Arpanet19723,0004,0,0.734226602,1.0445805,0.90001275
Arpanet19728,0000,0,1.646337593,1.160817,0.90002725
Arpanet19728,0001,0,1.680297376,1.18464275,0.899979
Arpanet19728,0002,0,3.130831446,1.1961195,0.90001325
Arpanet19728,0003,0,2.520320166,1.118897,0.900022
Arpanet19728,0004,0,2.061006339,1.23155525,0.9000215
AsnetAm,0000,0,3.93594563,1.137118625,0.899725
