Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Aarnet,0000,0,0.066,0.15,0.216,0.9432922
Aarnet,0001,0,0.066,0.148,0.214,0.9335895
Aarnet,0002,0,0.066,0.147,0.213,0.9634367
Aarnet,0003,0,0.066,0.168,0.234,0.9720654
Aarnet,0004,0,0.066,0.135,0.201,1.1249961
Abilene,0000,0,0.03,0.272,0.30200000000000005,0.9000360685120885
Abilene,0001,0,0.03,0.095,0.125,0.9000108506944444
Abilene,0002,0,0.03,0.14,0.17,0.9000662093299897
Abilene,0003,0,0.03,0.154,0.184,0.9
Abilene,0004,0,0.03,0.169,0.199,0.9000458642779063
Abvt,0000,0,0.053,0.401,0.454,0.89998375
Abvt,0001,0,0.053,0.267,0.32,0.9000313333333333
Abvt,0002,0,0.053,0.272,0.325,0.9000019166666667
Abvt,0003,0,0.053,0.275,0.328,0.8999901666666668
Abvt,0004,0,0.053,0.27,0.323,0.8999935
Aconet,0000,0,0.047,0.317,0.364,0.9000464905660378
Aconet,0001,0,0.047,0.274,0.321,0.900012679245283
Aconet,0002,0,0.047,0.348,0.39499999999999996,0.9000716226415094
Aconet,0003,0,0.047,0.288,0.33499999999999996,0.9000538113207547
Aconet,0004,0,0.047,0.365,0.412,0.9000307924528302
Agis,0000,0,0.054,0.223,0.277,0.8998129032258064
Agis,0001,0,0.054,0.484,0.538,0.8997666666666667
Agis,0002,0,0.054,0.221,0.275,0.8997193548387097
Agis,0003,0,0.054,0.385,0.439,0.8998193548387097
Agis,0004,0,0.054,0.235,0.289,0.8997967741935484
Ai3,0000,0,0.022,0.036,0.057999999999999996,0.899993
Ai3,0001,0,0.022,0.039,0.061,0.899994
Ai3,0002,0,0.022,0.037,0.059,0.899992
Ai3,0003,0,0.022,0.037,0.059,0.899993
Ai3,0004,0,0.022,0.054,0.076,0.899991
Airtel,0000,0,0.036,0.577,0.613,0.9000526666666666
Airtel,0001,0,0.036,1.878,1.914,0.9000428
Airtel,0002,0,0.036,1.259,1.295,0.899993
Airtel,0003,0,0.036,1.993,2.029,0.9000479999999997
Airtel,0004,0,0.036,0.297,0.33299999999999996,0.9000661666666666
Amres,0000,0,0.05,0.066,0.116,0.899929
Amres,0001,0,0.05,0.084,0.134,0.899926
Amres,0002,0,0.05,0.077,0.127,0.899926
Amres,0003,0,0.05,0.071,0.121,0.899926
Amres,0004,0,0.05,0.104,0.154,0.899943
Ans,0000,0,0.044,1.013,1.057,0.8997777777777778
Ans,0001,0,0.044,0.966,1.01,0.8998666666666667
Ans,0002,0,0.044,0.485,0.529,0.8997277777777778
Ans,0003,0,0.044,0.335,0.379,0.8997722222222222
Ans,0004,0,0.044,0.744,0.788,0.8997055555555528
Arn,0000,0,0.046,0.076,0.122,0.8964583333333334
Arn,0001,0,0.046,0.09,0.136,0.89675
Arn,0002,0,0.046,0.11,0.156,0.8967916666666667
Arn,0003,0,0.046,0.081,0.127,0.8964583333333334
Arn,0004,0,0.046,0.079,0.125,0.8967916666666667
Arnes,0000,0,0.073,0.626,0.699,0.90257175
Arnes,0001,0,0.073,0.538,0.611,0.90529425
Arnes,0002,0,0.073,0.487,0.5599999999999999,0.90072625
Arnes,0003,0,0.073,0.609,0.6819999999999999,0.9032
Arnes,0004,0,0.073,0.35,0.423,0.904485
Arpanet196912,0000,0,0.015,0.036,0.051,0.962446
Arpanet196912,0001,0,0.015,0.045,0.06,1.132629
Arpanet196912,0002,0,0.015,0.035,0.05,0.923963
Arpanet196912,0003,0,0.015,0.035,0.05,0.961027
