Topology,DemandFile,Exit code,Preprocessing time,ILP solve time,Total  time,uMax
Aarnet,0000,0,0.074,0.212,0.286,0.9432922
Aarnet,0001,0,0.074,0.254,0.328,0.9335895
Aarnet,0002,0,0.074,0.196,0.27,0.9634367
Aarnet,0003,0,0.074,0.22,0.294,0.9720654
Aarnet,0004,0,0.074,0.208,0.282,1.1249961
Abilene,0000,0,0.036,0.157,0.193,0.9000680177790638
Abilene,0001,0,0.036,0.156,0.192,0.900000100469393
Abilene,0002,0,0.036,0.226,0.262,0.9000290356545781
Abilene,0003,0,0.036,0.208,0.244,0.9000860018004115
Abilene,0004,0,0.036,0.195,0.231,0.9000281314300411
Abvt,0000,0,0.26,1.007,1.267,0.900042
Abvt,0001,0,0.26,1.027,1.287,0.899982
Abvt,0002,0,0.26,1.049,1.309,0.9000049999999999
Abvt,0003,0,0.26,0.95,1.21,0.899993
Abvt,0004,0,0.26,0.965,1.225,0.899971
Aconet,0000,0,0.229,0.874,1.103,0.9000538867924528
Aconet,0001,0,0.229,0.809,1.038,0.9000063396226415
Aconet,0002,0,0.229,0.71,0.939,0.9000617358490566
Aconet,0003,0,0.229,0.904,1.133,0.9000224905660378
Aconet,0004,0,0.229,0.697,0.9259999999999999,0.9000529811320754
Agis,0000,0,0.095,0.445,0.54,0.8997999999999999
Agis,0001,0,0.095,0.654,0.749,0.8997555555555553
Agis,0002,0,0.095,0.419,0.514,0.8997354838709677
Agis,0003,0,0.095,0.619,0.714,0.8997777777777772
Agis,0004,0,0.095,0.581,0.6759999999999999,0.8997548387096774
Ai3,0000,0,0.02,0.031,0.051000000000000004,0.899993
Ai3,0001,0,0.02,0.03,0.05,0.899994
Ai3,0002,0,0.02,0.029,0.049,0.899992
Ai3,0003,0,0.02,0.029,0.049,0.899993
Ai3,0004,0,0.02,0.03,0.05,0.899991
Airtel,0000,0,0.066,0.593,0.659,1.375849
Airtel,0001,0,0.066,0.556,0.6220000000000001,1.3364199999999968
Airtel,0002,0,0.066,0.683,0.7490000000000001,2.1392979999999966
Airtel,0003,0,0.066,0.828,0.8939999999999999,1.438076
Airtel,0004,0,0.066,1.124,1.1900000000000002,1.383419
Amres,0000,0,0.042,0.058,0.1,0.899929
Amres,0001,0,0.042,0.056,0.098,0.899926
Amres,0002,0,0.042,0.052,0.094,0.899926
Amres,0003,0,0.042,0.06,0.10200000000000001,0.899926
Amres,0004,0,0.042,0.08,0.122,0.899943
Ans,0000,0,0.178,0.968,1.146,0.8997555555555555
Ans,0001,0,0.178,2.485,2.663,0.8998666666666667
Ans,0002,0,0.178,0.817,0.9949999999999999,0.8998
Ans,0003,0,0.178,1.295,1.4729999999999999,0.8997333333333334
Ans,0004,0,0.178,1.277,1.4549999999999998,0.8997111111111111
