Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Aarnet,0000,0,0.035,1.96,1.995,0.9432921999999999
Aarnet,0001,0,0.031,1.902,1.933,0.9335895
Aarnet,0002,0,0.038,1.881,1.919,0.9634366999999999
Aarnet,0003,0,0.034,1.993,2.027,0.9720654
Aarnet,0004,0,0.16,2.003,2.163,1.1249961
Abilene,0000,0,0.01,0.268,0.278,0.900022203735854
Abilene,0001,0,0.01,0.286,0.296,0.9000255694605196
Abilene,0002,0,0.013,0.528,0.541,0.9000810034481096
Abilene,0003,0,0.008,0.331,0.339,0.9000892168209876
Abilene,0004,0,0.015,0.372,0.387,0.9000639738859953
Abvt,0000,0,0.039,6.072,6.111,0.9000070833333332
Abvt,0001,0,0.039,6.103,6.142,0.9000131666666668
Abvt,0002,0,0.047,5.428,5.475,0.9000234166666665
Abvt,0003,0,0.039,5.635,5.674,0.8999695
Abvt,0004,0,0.04,5.866,5.906,0.9000411666666667
Aconet,0000,0,0.039,4.399,4.438,0.9000828679245283
Aconet,0001,0,0.04,4.073,4.113,0.8999964528301887
Aconet,0002,0,0.049,4.745,4.794,0.9000343396226415
Aconet,0003,0,0.039,4.827,4.866,0.9000067169811321
Aconet,0004,0,0.051,4.278,4.329,0.9000636981132075
Agis,0000,0,0.038,5.614,5.652,0.8998225806451613
Agis,0001,0,0.04,5.522,5.562,0.8997774193548387
Agis,0002,0,0.041,4.95,4.991,0.8997806451612903
Agis,0003,0,0.059,4.987,5.046,0.8997777777777778
Agis,0004,0,0.045,4.859,4.904,0.8998129032258064
Ai3,0000,0,0.009,0.1,0.109,0.899993
Ai3,0001,0,0.009,0.107,0.116,0.899994
Ai3,0002,0,0.009,0.145,0.154,0.899992
Ai3,0003,0,0.007,0.114,0.121,0.899993
Ai3,0004,0,0.007,0.097,0.104,0.899991
Airtel,0000,0,0.017,1.695,1.712,0.9000363333333333
Airtel,0001,0,0.017,4.942,4.959,0.9000306
Airtel,0002,0,0.023,6.842,6.865,0.899993
Airtel,0003,0,0.018,9.78,9.798,0.900059
Airtel,0004,0,0.017,1.206,1.223,0.900077
Amres,0000,0,0.038,4.778,4.816,0.899929
Amres,0001,0,0.04,4.725,4.765,0.899926
Amres,0002,0,0.04,4.809,4.849,0.899926
Amres,0003,0,0.038,4.791,4.829,0.899926
Amres,0004,0,0.038,4.707,4.745,0.899943
Ans,0000,0,0.024,5.195,5.219,0.8997722222222222
Ans,0001,0,0.032,8.528,8.56,0.8998777777777778
Ans,0002,0,0.032,2.443,2.475,0.899794444444444
Ans,0003,0,0.024,3.073,3.097,0.8997833333333334
Ans,0004,0,0.035,4.226,4.261,0.8997222222222222
Arn,0000,0,0.087,6.607,6.694,0.8964583333333334
Arn,0001,0,0.07,6.399,6.469,0.89675
Arn,0002,0,0.078,6.603,6.681,0.8967916666666667
Arn,0003,0,0.068,6.046,6.114,0.8964583333333334
Arn,0004,0,0.07,6.48,6.55,0.8967916666666667
Arnes,0000,0,0.128,18.137,18.265,0.900060625
Arnes,0001,0,0.09,18.204,18.294,0.900014375
Arnes,0002,0,0.099,19.329,19.428,0.900041125
Arnes,0003,0,0.092,18.396,18.488,0.900031125
Arnes,0004,0,0.105,17.497,17.602,0.90006125
Arpanet196912,0000,0,0.006,0.03,0.036,0.962446
Arpanet196912,0001,0,0.007,0.034,0.041,1.132629
Arpanet196912,0002,0,0.006,0.03,0.036,0.923963
