Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Aarnet,0000,0,0.088,0.228,0.316,0.9432921999999999
Aarnet,0001,0,0.072,0.231,0.303,0.9335895
Aarnet,0002,0,0.08,0.222,0.302,0.9634367
Aarnet,0003,0,0.068,0.22,0.288,0.9720654
Aarnet,0004,0,0.071,0.307,0.378,1.1249961
Abilene,0000,0,0.045,0.441,0.486,0.9000417450327932
Abilene,0001,0,0.057,0.097,0.154,0.9000588499469522
Abilene,0002,0,0.045,0.142,0.187,0.9000195412969393
Abilene,0003,0,0.048,0.167,0.215,0.9000753018100566
Abilene,0004,0,0.044,0.633,0.677,0.9000334311905221
Abvt,0000,0,0.178,3.018,3.196,0.9000279166666666
Abvt,0001,0,0.2,2.073,2.273,0.8999877499999999
Abvt,0002,0,0.172,1.805,1.977,0.9000347499999997
Abvt,0003,0,0.175,1.707,1.882,0.8999695
Abvt,0004,0,0.18,2.012,2.192,0.9000284999999999
Aconet,0000,0,0.17,2.145,2.315,0.8999990943396227
Aconet,0001,0,0.168,1.733,1.901,0.9000368301886793
Aconet,0002,0,0.182,2.352,2.534,0.9000498113207547
Aconet,0003,0,0.168,1.978,2.146,0.9000401509433962
Aconet,0004,0,0.168,1.646,1.814,0.9000651320754717
Agis,0000,0,0.1,0.945,1.045,0.8998064516129032
Agis,0001,0,0.096,1.558,1.654,0.8997612903225807
Agis,0002,0,0.099,1.053,1.152,0.8997774193548387
Agis,0003,0,0.109,0.858,0.967,0.8998
Agis,0004,0,0.095,0.756,0.851,0.8997903225806452
Ai3,0000,0,0.012,0.025,0.037,0.899993
Ai3,0001,0,0.015,0.03,0.045,0.899994
Ai3,0002,0,0.012,0.025,0.037,0.899992
Ai3,0003,0,0.012,0.027,0.039,0.899993
Ai3,0004,0,0.011,0.025,0.036,0.899991
Airtel,0000,0,0.087,2.488,2.575,0.900083
Airtel,0001,0,0.082,7.369,7.451,0.900025
Airtel,0002,0,0.084,5.32,5.404,0.899993
Airtel,0003,0,0.082,10.623,10.705,0.9000836666666666
Airtel,0004,0,0.083,0.837,0.92,0.9000236666666663
Amres,0000,0,0.03,0.043,0.073,0.899929
Amres,0001,0,0.029,0.039,0.068,0.899926
Amres,0002,0,0.029,0.045,0.074,0.899926
