Topology,ExitCode,TotalTime,nbPaths,Nodes,Edges,maxPaths,percentagePaths
Aarnet,0,0.091,8869,19,48,1494540,0.5934267400002677%
Abilene,0,0.049,3166,11,28,64460,4.9115730685696555%
Abvt,0,2.987,175707,23,62,4261532,4.1230946992771615%
Aconet,0,1.69,127154,23,62,4261532,2.983762646860331%
Agis,0,0.226,26256,25,60,6693600,0.39225528863391895%
Ai3,0,0.02,90,10,18,36090,0.24937655860349126%
Airtel,0,0.323,29402,16,74,571440,5.145247095058099%
Amres,0,0.043,600,25,48,6693600,0.008963786303334529%
Ans,0,1.955,110158,18,50,1106802,9.952819022733966%
Arn,0,0.055,870,30,58,17783670,0.004892128565138692%
Arnes,0,1.176,127758,34,94,34540770,0.3698759465987585%
Arpanet196912,0,0.014,22,4,8,60,36.666666666666664%
Arpanet19706,0,0.022,180,9,20,18720,0.9615384615384616%
Arpanet19719,0,0.201,20996,18,44,1106802,1.896996933507529%
Arpanet19723,0,0.261,29591,25,56,6693600,0.4420790008366201%
Arpanet19728,0,3.519,205528,29,64,14843360,1.3846460639639542%
AsnetAm,0,6.315,589679,65,158,1007701760,0.05851721445837309%
Atmnet,0,0.076,3996,21,44,2593920,0.15405255366395262%
AttMpls,0,1065.731,2147678,25,114,6693600,32.085544400621494%
Azrena,0,0.05,462,22,50,3345342,0.013810247203424941%
Bandcon,0,0.69,63081,21,56,2593920,2.4318791635825314%
Basnet,0,0.016,42,7,12,3612,1.1627906976744187%
Bbnplanet,0,0.064,3890,27,56,10127052,0.03841196826085222%
Bellcanada,0,156.238,1873159,48,130,210252432,0.8909095519998552%
Bellsouth,0,170.503,2304200,51,132,288012300,0.800035276271187%
Belnet2003,0,2.066,158993,23,86,4261532,3.7308883284227363%
Belnet2004,0,2.08,158993,23,86,4261532,3.7308883284227363%
Belnet2005,0,2.643,172996,23,88,4261532,4.059479079354561%
Belnet2006,0,2.573,172996,23,88,4261532,4.059479079354561%
Belnet2007,0,0.322,32421,21,62,2593920,1.2498843449296817%
Belnet2008,0,0.345,32421,21,62,2593920,1.2498843449296817%
Belnet2009,0,0.436,32421,21,62,2593920,1.2498843449296817%
Belnet2010,0,0.22,22056,22,64,3345342,0.6593047885687024%
BeyondTheNetwork,0,78.397,1748854,53,130,351533312,0.49749310813536785%
Bics,0,104.642,1182547,33,96,29496192,4.009151418596678%
Biznet,0,0.189,18718,29,66,14843360,0.12610352373047612%
Bren,0,0.108,3200,37,76,53940672,0.005932443704075471%
BsonetEurope,0,0.485,42648,18,48,1106802,3.8532637273875543%
BtAsiaPac,0,1.932,121446,20,62,1983980,6.121331868264801%
BtEurope,0,10.882,377219,24,74,5368200,7.026917775045639%
BtLatinAmerica,0,0.333,38310,45,100,150274080,0.025493418425852284%
BtNorthAmerica,1,3645.577,-,36,152,46696860,-
Canerie,0,1.954,170721,32,82,25058912,0.6812785806502692%
Carnet,0,0.076,1892,44,86,133660340,0.0014155283459551277%
Cernet,0,0.185,17014,41,118,92423840,0.018408670317095678%
Cesnet1993,0,0.019,90,10,18,36090,0.24937655860349126%
Cesnet1997,0,0.028,156,13,24,173472,0.08992805755395684%
Cesnet1999,0,0.028,156,13,24,173472,0.08992805755395684%
Cesnet2001,0,0.032,506,23,46,4261532,0.011873664212776063%
Cesnet200304,0,0.063,3116,29,66,14843360,0.020992551551670242%
Cesnet200511,0,0.404,57092,39,88,71121180,0.08027425866668692%
Cesnet200603,0,0.402,57092,39,88,71121180,0.08027425866668692%
Cesnet200706,0,0.646,102401,44,102,133660340,0.07661285314701428%
Cesnet201006,0,7.481,580302,52,126,318507852,0.18219393850296664%
Chinanet,0,795.525,3252693,42,132,104837082,3.1026168774899707%
Claranet,0,0.057,2558,15,36,396060,0.6458617381204868%
Cogentco,1,3602.212,-,197,490,283381808192,-
Colt,1,3607.19,-,153,382,79015794912,-
Columbus,0,1458.411,6832851,70,170,1474700430,0.4633382388042024%
Compuserve,0,0.098,6600,14,34,266630,2.4753403592994037%
CrlNetworkServices,0,0.992,102932,33,76,29496192,0.3489670802251355%
Cudi,0,0.146,5846,51,104,288012300,0.0020297744228284695%
Cwix,0,1.041,119004,36,82,46696860,0.25484368756271836%
Cynet,0,0.047,870,30,58,17783670,0.004892128565138692%
Darkstrand,0,0.355,40208,28,62,12305412,0.32675053870605875%
Dataxchange,0,0.024,450,6,22,1230,36.58536585365854%
Deltacom,1,3600.24,-,113,366,16999691072,-
DeutscheTelekom,0,243.215,1424667,30,110,17783670,8.011096697138441%
Dfn,1,3600.412,-,58,174,560224842,-
DialtelecomCz,1,3600.947,-,138,302,46863001722,-
Digex,0,0.95,96392,31,76,21172380,0.45527238789403934%
Easynet,0,0.331,30041,19,58,1494540,2.0100499150240205%
Eenet,0,0.029,156,13,32,173472,0.08992805755395684%
EliBackbone,0,4.119,179897,20,60,1983980,9.067480518956843%
Epoch,0,0.024,454,6,14,1230,36.91056910569105%
Ernet,0,0.142,14113,30,64,17783670,0.07935932234460041%
Esnet,0,11.705,872461,68,184,1270745852,0.06865739507446372%
Eunetworks,0,0.052,3658,14,38,266630,1.3719386415632149%
Evolink,0,1.477,133254,37,90,53940672,0.24703807916964773%
Fatman,0,0.091,9260,17,42,804032,1.1516954549072673%
Fccn,0,0.057,2934,23,54,4261532,0.06884847984246041%
Forthnet,0,0.149,5220,62,124,790139222,0.0006606430682920838%
Funet,0,0.323,40141,26,62,8268650,0.4854601416192486%
Gambia,0,0.073,2192,28,56,12305412,0.017813300359224054%
Garr199901,0,0.035,1000,16,36,571440,0.17499650006999862%
Garr199904,0,0.05,2082,23,50,4261532,0.04885566974505882%
Garr199905,0,0.047,2082,23,50,4261532,0.04885566974505882%
Garr200109,0,0.042,1878,22,48,3345342,0.05613775811262346%
Garr200112,0,0.049,2248,24,52,5368200,0.04187623411944413%
Garr200212,0,0.058,2830,27,58,10127052,0.027944953773319226%
Garr200404,0,0.051,1902,22,48,3345342,0.056855173551762415%
Garr200902,0,1.626,212505,54,142,387242910,0.05487640819556903%
Garr200908,0,1.526,206478,54,136,387242910,0.05332002075906309%
Garr200909,0,1.53,214090,55,138,425797020,0.050279825819354015%
Garr200912,0,1.517,210192,54,136,387242910,0.05427910868658641%
Garr201001,0,2.335,281244,54,136,387242910,0.07262728193009395%
Garr201003,0,1.552,217585,54,142,387242910,0.05618824628706566%
Garr201004,0,1.563,217585,54,142,387242910,0.05618824628706566%
Garr201005,0,1.613,221793,55,144,425797020,0.052088903769218486%
Garr201007,0,1.591,221793,55,148,425797020,0.052088903769218486%
Garr201008,0,1.602,221793,55,148,425797020,0.052088903769218486%
Garr201010,0,1.656,229875,56,150,467362280,0.04918561249743989%
Garr201012,0,2.495,324516,56,150,467362280,0.06943564208904493%
Garr201101,0,2.506,324516,56,152,467362280,0.06943564208904493%
Garr201102,0,2.61,338085,57,154,512111712,0.06601782229889716%
Garr201103,0,2.723,344249,58,162,560224842,0.06144836397669063%
Garr201104,0,3.701,419772,59,166,611887820,0.06860277101119613%
Garr201105,0,3.219,379743,59,168,611887820,0.062060885604815604%
Garr201107,0,3.216,379743,59,170,611887820,0.062060885604815604%
Garr201108,0,3.347,379743,59,170,611887820,0.062060885604815604%
Garr201109,0,3.986,433616,59,172,611887820,0.0708652772333334%
Garr201110,0,3.097,357464,59,174,611887820,0.05841985872508461%
Garr201111,0,2.214,286527,60,174,667293540,0.04293867433513593%
Garr201112,0,2.292,296502,61,178,726641760,0.04080442610399931%
Garr201201,0,2.824,316396,61,178,726641760,0.04354222636474953%
Gblnet,0,0.02,56,8,14,8792,0.6369426751592357%
