Topology,DemandFile,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Aarnet,0000,1800.071273779,0.13828446,0.404,1.995,0.216,1.217,0.39,0.541,0.950936073,0.881294634
Aarnet,0001,1800.239399352,0.092314563,0.177,1.933,0.214,0.28500000000000003,0.377,0.538,0.863201706,0.909363556
Aarnet,0002,1800.039520979,0.271701538,0.166,1.919,0.213,0.3,0.376,0.684,0.908234549,1.027882216
Aarnet,0003,1800.226401667,0.264428674,0.178,2.027,0.234,0.302,0.362,0.491,0.951728556,1.00698216
Aarnet,0004,1800.10107901,0.119524987,0.167,2.163,0.201,0.307,0.452,0.904,0.961730039,0.889182726
Abilene,0000,1800.047301348,0.281055834,0.121,0.278,0.30200000000000005,0.30200000000000005,0.522,0.522,0.445544154,0.461128586
Abilene,0001,1800.019725901,0.275081502,0.082,0.296,0.125,0.125,0.19,0.19,0.475071927,0.533216799
Abilene,0002,1800.04934723,0.177418921,0.13,0.541,0.17,0.17,0.223,0.223,0.411470039,0.395252705
Abilene,0003,1800.016192081,0.116414115,0.079,0.339,0.184,0.184,0.251,0.251,0.408235026,0.428718869
Abilene,0004,1800.044763673,0.176950714,0.155,0.387,0.199,0.199,0.7130000000000001,0.7130000000000001,0.415581138,0.494968382
Abvt,0000,1800.214805797,0.284567401,0.343,6.111,0.454,0.454,3.4560000000000004,3.4560000000000004,1.409087634,1.385710835
Abvt,0001,1800.370398316,0.368182427,0.37,6.142,0.32,0.32,2.5330000000000004,2.5330000000000004,1.51752049,1.57414434
Abvt,0002,1800.420283629,0.243252198,0.352,5.475,0.325,0.325,2.237,2.237,1.378200033,1.322902528
Abvt,0003,1800.620979426,0.316929286,0.323,5.674,0.328,0.328,2.142,2.142,1.40149189,1.604331422
Abvt,0004,1800.267534924,0.389928484,0.363,5.906,0.323,0.323,2.452,2.452,1.43034834,1.342647475
Aconet,0000,1800.207141255,0.443636573,0.327,4.438,0.364,0.364,2.544,2.544,1.453312295,1.955510344
Aconet,0001,1800.408676231,0.322321407,0.306,4.113,0.321,0.321,2.13,2.13,1.527325242,1.451711705
Aconet,0002,1800.082846,0.400673673,0.375,4.794,0.39499999999999996,0.39499999999999996,2.763,2.763,1.629347874,1.741549101
Aconet,0003,1800.013540598,0.351531265,0.318,4.866,0.33499999999999996,0.33499999999999996,2.375,2.375,1.57210223,1.652127968
Aconet,0004,1800.095026144,0.401547663,0.305,4.329,0.412,0.412,2.043,2.043,1.479367498,1.499429781
Agis,0000,1800.033060724,0.841856894,0.29,5.652,0.277,0.277,1.14,1.14,1.803399134,1.816316938
Agis,0001,1800.295487849,2.993776088,0.38,5.562,0.538,0.538,1.7489999999999999,1.7489999999999999,2.043570746,2.027224699
Agis,0002,1800.042067287,0.854058015,0.36,4.991,0.275,0.275,1.2469999999999999,1.2469999999999999,1.911100278,1.860664718
Agis,0003,1800.285159981,1.248161181,0.632,5.046,0.439,0.439,1.062,1.062,1.840301313,1.779170732
Agis,0004,1800.437707438,1.723981591,0.304,4.904,0.289,0.289,0.946,0.946,1.710112612,1.895766612
Ai3,0000,1800.026335629,0.039531232,0.043,0.109,0.057999999999999996,0.057999999999999996,0.056999999999999995,0.056999999999999995,0.201241296,0.197263513
