Topology,Nodes,Edges,2-SR preprocessing time,3-SR preprocessing time,4-SR preprocessing time,2-SR useful paths,3-SR useful paths,4-SR useful paths,2-SR percentage paths left,3-SR percentage paths left,4-SR percentage paths left,2-SR useful paths adjacency,3-SR useful paths adjacency
Aarnet,48,19,0.066,0.074,0.091,1792,5161,8869,29.11%,5.20%,0.59%,1824,5301
Abilene,28,11,0.03,0.036,0.049,558,1628,3166,50.73%,18.05%,4.91%,558,1628
Abvt,62,23,0.053,0.26,2.987,5052,35081,175707,45.38%,15.69%,4.12%,5052,35081
Aconet,62,23,0.047,0.229,1.69,4396,31534,127154,39.49%,14.10%,2.98%,4396,31534
Agis,60,25,0.054,0.095,0.226,3134,11322,26256,21.76%,3.56%,0.39%,3134,11322
Ai3,18,10,0.022,0.02,0.02,90,90,90,11.11%,1.54%,0.25%,90,90
Airtel,74,16,0.036,0.066,0.323,1528,7546,29402,42.44%,15.96%,5.15%,1528,7546
Amres,48,25,0.05,0.042,0.043,600,600,600,4.17%,0.19%,0.01%,600,600
Ans,50,18,0.044,0.178,1.955,3077,21624,110158,59.15%,27.50%,9.95%,3077,21624
Arn,58,30,0.046,0.046,0.055,870,870,870,3.45%,0.13%,0.00%,870,870
Arnes,94,34,0.073,0.228,1.176,7368,35843,127758,19.90%,3.12%,0.37%,7408,36009
Arpanet196912,8,4,0.015,0.014,0.014,22,22,22,61.11%,36.67%,36.67%,22,22
Arpanet19706,20,9,0.025,0.02,0.022,160,180,180,27.78%,5.00%,0.96%,160,180
Arpanet19719,44,18,0.044,0.077,0.201,1962,7750,20996,37.72%,9.85%,1.90%,1962,7750
Arpanet19723,56,25,0.051,0.121,0.261,3534,12332,29591,24.54%,3.88%,0.44%,3534,12332
Arpanet19728,64,29,0.068,0.42,3.519,7422,50200,205528,32.64%,8.47%,1.38%,7422,50200
AsnetAm,158,65,0.248,0.934,6.315,28354,149185,589679,10.65%,0.90%,0.06%,28354,149185
Atmnet,44,21,0.044,0.058,0.076,1754,3348,3996,20.88%,2.20%,0.15%,1754,3348
AttMpls,114,25,0.072,2.381,1065.731,10828,164337,2147678,75.19%,51.68%,32.09%,10828,164337
Azrena,50,22,0.034,0.036,0.05,462,462,462,4.76%,0.25%,0.01%,462,462
Bandcon,56,21,0.047,0.129,0.69,3290,16824,63081,39.17%,11.07%,2.43%,3290,16824
Basnet,12,7,0.019,0.017,0.016,42,42,42,16.67%,3.85%,1.16%,42,42
Bbnplanet,56,27,0.046,0.057,0.064,1986,3344,3890,10.88%,0.76%,0.04%,1986,3344
Bellcanada,130,48,0.189,2.452,156.238,29046,270611,1873159,27.39%,5.67%,0.89%,29046,270611
Bellsouth,132,51,0.218,2.514,170.503,31368,310517,2304200,24.60%,5.07%,0.80%,31368,310517
Belnet2003,86,23,0.054,0.194,2.066,4158,31845,158993,37.35%,14.24%,3.73%,4158,31845
Belnet2004,86,23,0.056,0.197,2.08,4158,31845,158993,37.35%,14.24%,3.73%,4158,31845
Belnet2005,88,23,0.056,0.189,2.643,4900,29697,172996,44.02%,13.28%,4.06%,5107,31774
Belnet2006,88,23,0.049,0.198,2.573,4900,29697,172996,44.02%,13.28%,4.06%,5107,31774
Belnet2007,62,21,0.047,0.114,0.322,2828,11930,32421,33.67%,7.85%,1.25%,2828,11930
Belnet2008,62,21,0.05,0.124,0.345,2828,11930,32421,33.67%,7.85%,1.25%,2828,11930
Belnet2009,62,21,0.044,0.126,0.436,2828,11930,32421,33.67%,7.85%,1.25%,2828,11930
Belnet2010,64,22,0.045,0.098,0.22,2730,9653,22056,28.14%,5.21%,0.66%,2730,9653
BeyondTheNetwork,130,53,0.215,2.23,78.397,30172,256308,1748854,21.05%,3.57%,0.50%,30172,256308
Bics,96,33,0.116,1.746,104.642,14316,146959,1182547,42.37%,14.47%,4.01%,14316,146959
Biznet,66,29,0.06,0.108,0.189,3754,10080,18718,16.51%,1.70%,0.13%,3754,10080
Bren,76,37,0.073,0.083,0.108,2860,3200,3200,5.96%,0.20%,0.01%,2860,3200
BsonetEurope,48,18,0.042,0.113,0.485,2319,11959,42648,44.58%,15.21%,3.85%,2319,11959
BtAsiaPac,62,20,0.046,0.176,1.932,3408,23062,121446,47.20%,18.67%,6.12%,3408,23062
BtEurope,74,24,0.057,0.42,10.882,6434,56317,377219,50.68%,21.04%,7.03%,6434,56317
BtLatinAmerica,100,45,0.112,0.206,0.333,7650,20108,38310,8.78%,0.55%,0.03%,7650,20108
BtNorthAmerica,152,36,0.177,23.252,3645.577,32652,769029,-,74.04%,52.75%,-,32652,769029
Canerie,82,32,0.074,0.287,1.954,8198,43671,170721,26.66%,4.89%,0.68%,8198,43671
Carnet,86,44,0.071,0.072,0.076,1892,1892,1892,2.33%,0.06%,0.00%,1892,1892
Cernet,118,41,0.094,0.146,0.185,5226,11414,17014,7.97%,0.46%,0.02%,5853,12992
Cesnet1993,18,10,0.022,0.021,0.019,90,90,90,11.11%,1.54%,0.25%,90,90
Cesnet1997,24,13,0.025,0.028,0.028,156,156,156,8.33%,0.82%,0.09%,156,156
Cesnet1999,24,13,0.02,0.024,0.028,156,156,156,8.33%,0.82%,0.09%,156,156
Cesnet2001,46,23,0.035,0.036,0.032,506,506,506,4.55%,0.23%,0.01%,533,533
Cesnet200304,66,29,0.05,0.055,0.063,2002,2832,3116,8.81%,0.48%,0.02%,2091,3051
Cesnet200511,88,39,0.087,0.194,0.404,7478,27305,57092,13.28%,1.34%,0.08%,7478,27305
Cesnet200603,88,39,0.088,0.184,0.402,7478,27305,57092,13.28%,1.34%,0.08%,7478,27305
Cesnet200706,102,44,0.108,0.231,0.646,9514,37687,102401,11.69%,1.13%,0.08%,9514,37687
Cesnet201006,126,52,0.17,0.666,7.481,18758,116613,580302,13.87%,1.76%,0.18%,18822,116957
Chinanet,132,42,0.16,2.931,795.525,25231,307328,3252693,35.74%,11.15%,3.10%,25231,307328
Claranet,36,15,0.034,0.039,0.057,780,1746,2558,26.53%,4.89%,0.65%,780,1746
Cogentco,490,197,24.122,3600.148,3602.212,1422276,-,-,18.79%,-,-,1422276,-
Colt,382,153,5.901,209.685,3607.19,425294,5044664,-,12.03%,0.95%,-,425294,5044664
Columbus,170,70,0.526,11.892,1458.411,73470,812688,6832851,22.05%,3.64%,0.46%,73470,812688
Compuserve,34,14,0.028,0.048,0.098,944,3048,6600,39.90%,11.55%,2.48%,944,3048
CrlNetworkServices,76,33,0.092,0.258,0.992,7424,33737,102932,21.97%,3.32%,0.35%,7424,33737
Cudi,104,51,0.116,0.137,0.146,4678,5348,5846,3.67%,0.09%,0.00%,4678,5348
Cwix,82,36,0.082,0.273,1.041,8922,40528,119004,20.23%,2.78%,0.25%,8922,40528
Cynet,58,30,0.054,0.061,0.047,870,870,870,3.45%,0.13%,0.00%,870,870
Darkstrand,62,28,0.064,0.141,0.355,4670,16679,40208,22.88%,3.26%,0.33%,4670,16679
Dataxchange,22,6,0.017,0.023,0.024,114,282,450,76.00%,55.29%,36.59%,114,282
Deltacom,366,113,3.971,3549.747,3600.24,460612,14421224,-,32.50%,9.25%,-,460612,14421224
DeutscheTelekom,110,30,0.083,1.58,243.215,12378,143678,1424667,49.06%,21.04%,8.01%,12378,143678
Dfn,174,58,0.422,26.553,3600.412,64559,1058483,-,34.26%,10.21%,-,64559,1058483
DialtelecomCz,302,138,4.718,164.425,3600.947,299344,3814235,-,11.56%,1.09%,-,299344,3814235
Digex,76,31,0.073,0.271,0.95,6828,31036,96392,24.47%,3.96%,0.46%,6828,31036
Easynet,58,19,0.042,0.085,0.331,2127,9228,30041,34.55%,9.30%,2.01%,2127,9228
Eenet,32,13,0.025,0.028,0.029,156,156,156,8.33%,0.82%,0.09%,252,252
EliBackbone,60,20,0.05,0.261,4.119,4025,30782,179897,55.75%,24.92%,9.07%,4025,30782
Epoch,14,6,0.017,0.033,0.024,138,330,454,92.00%,64.71%,36.91%,138,330
Ernet,64,30,0.067,0.104,0.142,3770,9448,14113,14.94%,1.38%,0.08%,3770,9448
Esnet,184,68,0.403,1.349,11.705,38354,216440,872461,12.56%,1.09%,0.07%,40608,234026
Eunetworks,38,14,0.029,0.045,0.052,806,2126,3658,34.07%,8.06%,1.37%,806,2126
Evolink,90,37,0.083,0.281,1.477,8738,38724,133254,18.22%,2.37%,0.25%,8738,38724
Fatman,42,17,0.037,0.051,0.091,1320,4172,9260,30.33%,6.79%,1.15%,1320,4172
Fccn,54,23,0.04,0.048,0.057,1386,2466,2934,12.45%,1.10%,0.07%,1386,2466
Forthnet,124,62,0.129,0.148,0.149,5220,5220,5220,2.26%,0.04%,0.00%,5220,5220
Funet,62,26,0.054,0.148,0.323,4198,16135,40141,25.83%,4.30%,0.49%,4198,16135
Gambia,56,28,0.051,0.062,0.073,1788,2192,2192,8.76%,0.43%,0.02%,1788,2192
Garr199901,36,16,0.032,0.034,0.035,620,1000,1000,17.22%,2.12%,0.17%,620,1000
Garr199904,50,23,0.038,0.044,0.05,1294,2082,2082,11.62%,0.93%,0.05%,1294,2082
Garr199905,50,23,0.043,0.043,0.047,1294,2082,2082,11.62%,0.93%,0.05%,1294,2082
Garr200109,48,22,0.046,0.038,0.042,1170,1878,1878,12.06%,1.01%,0.06%,1170,1878
Garr200112,52,24,0.042,0.053,0.049,1400,2248,2248,11.03%,0.84%,0.04%,1400,2248
Garr200212,58,27,0.047,0.057,0.058,1766,2830,2830,9.68%,0.64%,0.03%,1766,2830
Garr200404,48,22,0.038,0.041,0.051,1182,1902,1902,12.18%,1.03%,0.06%,1182,1902
Garr200902,142,54,0.189,0.487,1.626,18202,74414,212505,12.00%,0.96%,0.05%,18770,77274
Garr200908,136,54,0.176,0.486,1.526,18202,73142,206478,12.00%,0.94%,0.05%,18410,74325
Garr200909,138,55,0.188,0.49,1.53,18824,75732,214090,11.74%,0.91%,0.05%,19035,76927
Garr200912,136,54,0.187,0.446,1.517,18302,74042,210192,12.07%,0.96%,0.05%,18509,75219
Garr201001,136,54,0.195,0.533,2.335,20008,88906,281244,13.19%,1.15%,0.07%,20215,90215
Garr201003,142,54,0.183,0.473,1.552,18306,75580,217585,12.07%,0.98%,0.06%,18903,78607
Garr201004,142,54,0.192,0.472,1.563,18306,75580,217585,12.07%,0.98%,0.06%,18903,78607
Garr201005,144,55,0.19,0.479,1.613,18836,77328,221793,11.74%,0.93%,0.05%,19445,80393
Garr201007,148,55,0.194,0.465,1.591,18836,77328,221793,11.74%,0.93%,0.05%,19610,81292
Garr201008,148,55,0.194,0.475,1.602,18836,77328,221793,11.74%,0.93%,0.05%,19610,81292
Garr201010,150,56,0.198,0.486,1.656,19444,80000,229875,11.48%,0.89%,0.05%,20232,84014
Garr201012,150,56,0.207,0.558,2.495,21418,98946,324516,12.64%,1.10%,0.07%,21418,98946
Garr201101,152,56,0.215,0.559,2.506,21418,98946,324516,12.64%,1.10%,0.07%,22148,102796
Garr201102,154,57,0.221,0.59,2.61,22310,102992,338085,12.48%,1.07%,0.07%,23054,106940
Garr201103,162,58,0.222,0.619,2.723,22990,105582,344249,12.20%,1.02%,0.06%,24099,111747
Garr201104,166,59,0.238,0.688,3.701,25222,122022,419772,12.71%,1.10%,0.07%,26387,129003
Garr201105,168,59,0.241,0.645,3.219,24140,113528,379743,12.16%,1.02%,0.06%,25387,120913
Garr201107,170,59,0.233,0.661,3.216,24140,113528,379743,12.16%,1.02%,0.06%,25446,121367
Garr201108,170,59,0.237,0.674,3.347,24140,113528,379743,12.16%,1.02%,0.06%,25446,121367
Garr201109,172,59,0.249,0.715,3.986,24580,121724,433616,12.38%,1.09%,0.07%,26109,131093
Garr201110,174,59,0.24,0.636,3.097,23500,108576,357464,11.84%,0.98%,0.06%,25149,118058
Garr201111,174,60,0.247,0.606,2.214,22294,94260,286527,10.67%,0.79%,0.04%,23968,103198
Garr201112,178,61,0.276,0.616,2.292,23054,97568,296502,10.50%,0.77%,0.04%,24876,107426
Garr201201,178,61,0.26,0.64,2.824,23700,102760,316396,10.79%,0.81%,0.04%,25413,112522
Gblnet,14,8,0.02,0.016,0.02,56,56,56,14.29%,2.70%,0.64%,56,56
